split,feature_0,class_0,class_1
train,-0.013113190419971943,1.0,0.0
train,2.986886739730835,0.0,1.0
train,1.9868868589401245,1.0,0.0
train,-1.0131131410598755,0.0,1.0
train,1.9868868589401245,1.0,0.0
train,2.986886739730835,0.0,1.0
train,1.9868868589401245,1.0,0.0
train,2.986886739730835,0.0,1.0
train,-0.013113190419971943,1.0,0.0
train,-1.0131131410598755,0.0,1.0
val,1.9868868589401245,1.0,0.0
val,2.986886739730835,0.0,1.0
val,1.9868868589401245,1.0,0.0
val,2.986886739730835,0.0,1.0
val,1.9868868589401245,1.0,0.0
val,-1.0131131410598755,0.0,1.0
val,-0.013113190419971943,1.0,0.0
val,2.986886739730835,0.0,1.0
val,-0.013113190419971943,1.0,0.0
val,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,1.9868868589401245,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,-1.0131131410598755,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
test,-0.013113190419971943,1.0,0.0
test,2.986886739730835,0.0,1.0
origin,0.9868868096366911,,
