split,feature_0,class_0,class_1,class_2
train,-1.3787611722946167,1.0,0.0,0.0
train,1.6212388277053833,0.0,1.0,0.0
train,-3.378761053085327,0.0,0.0,1.0
train,-1.3787611722946167,1.0,0.0,0.0
train,-2.378761053085327,0.0,1.0,0.0
train,2.621238946914673,0.0,0.0,1.0
train,-1.3787611722946167,1.0,0.0,0.0
train,-2.378761053085327,0.0,1.0,0.0
train,-3.378761053085327,0.0,0.0,1.0
train,0.6212388873100281,1.0,0.0,0.0
train,1.6212388277053833,0.0,1.0,0.0
train,-3.378761053085327,0.0,0.0,1.0
train,0.6212388873100281,1.0,0.0,0.0
train,-2.378761053085327,0.0,1.0,0.0
train,-3.378761053085327,0.0,0.0,1.0
val,-1.3787611722946167,1.0,0.0,0.0
val,-2.378761053085327,0.0,1.0,0.0
val,2.621238946914673,0.0,0.0,1.0
val,0.6212388873100281,1.0,0.0,0.0
val,-2.378761053085327,0.0,1.0,0.0
val,-3.378761053085327,0.0,0.0,1.0
val,0.6212388873100281,1.0,0.0,0.0
val,1.6212388277053833,0.0,1.0,0.0
val,2.621238946914673,0.0,0.0,1.0
val,-1.3787611722946167,1.0,0.0,0.0
val,-2.378761053085327,0.0,1.0,0.0
val,-3.378761053085327,0.0,0.0,1.0
val,-1.3787611722946167,1.0,0.0,0.0
val,-2.378761053085327,0.0,1.0,0.0
val,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,2.621238946914673,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,-2.378761053085327,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,0.6212388873100281,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
test,-3.378761053085327,0.0,0.0,1.0
test,-1.3787611722946167,1.0,0.0,0.0
test,1.6212388277053833,0.0,1.0,0.0
