split,feature_0,feature_1,class_0,class_1,class_2
train,-1.5257104635238647,-0.04929918795824051,1.0,0.0,0.0
train,0.031445279717445374,0.7439239025115967,0.0,1.0,0.0
train,-2.593738079071045,-3.5104153156280518,0.0,0.0,1.0
train,-2.0567386150360107,-0.8809173107147217,1.0,0.0,0.0
train,-1.3343827724456787,-2.914064407348633,0.0,1.0,0.0
train,0.7357208728790283,1.4713774919509888,0.0,0.0,1.0
train,-1.888282060623169,-0.3757334351539612,1.0,0.0,0.0
train,-0.9002701640129089,-2.9270002841949463,0.0,1.0,0.0
train,-2.4875216484069824,1.7043321132659912,0.0,0.0,1.0
train,-0.17724625766277313,-1.4066113233566284,1.0,0.0,0.0
train,-1.5725325345993042,0.9994717240333557,0.0,1.0,0.0
train,1.3871939182281494,0.8047194480895996,0.0,0.0,1.0
train,-2.0573766231536865,-0.8949894309043884,1.0,0.0,0.0
train,-2.536341667175293,-2.280393123626709,0.0,1.0,0.0
train,-4.056127071380615,-0.8242245316505432,0.0,0.0,1.0
val,-2.058063268661499,-0.9237435460090637,1.0,0.0,0.0
val,0.2281273901462555,-2.4647727012634277,0.0,1.0,0.0
val,-2.636169672012329,1.6181775331497192,0.0,0.0,1.0
val,-0.058569829910993576,-0.9636158347129822,1.0,0.0,0.0
val,0.8366022109985352,-1.5736068487167358,0.0,1.0,0.0
val,1.940407633781433,-1.0275872945785522,0.0,0.0,1.0
val,-0.06516353785991669,-1.0518158674240112,1.0,0.0,0.0
val,-2.08294415473938,-2.6507108211517334,0.0,1.0,0.0
val,-1.484583854675293,-3.9027700424194336,0.0,0.0,1.0
val,-0.48970338702201843,-1.7559871673583984,1.0,0.0,0.0
val,0.4562790095806122,-2.239619255065918,0.0,1.0,0.0
val,1.0257294178009033,-3.091390371322632,0.0,0.0,1.0
val,-1.2258564233779907,0.05259162560105324,1.0,0.0,0.0
val,-3.036403179168701,-0.6393857598304749,0.0,1.0,0.0
val,0.5730921626091003,-3.451012134552002,0.0,0.0,1.0
test,-0.8870583772659302,-1.9185006618499756,1.0,0.0,0.0
test,0.1996186375617981,-2.488269805908203,0.0,1.0,0.0
test,-2.8671295642852783,1.459969162940979,0.0,0.0,1.0
test,-1.6041557788848877,-0.09548400342464447,1.0,0.0,0.0
test,-2.9646973609924316,-0.329153448343277,0.0,1.0,0.0
test,1.9073503017425537,-0.47930556535720825,0.0,0.0,1.0
test,-0.4336285889148712,-1.714279294013977,1.0,0.0,0.0
test,-2.2900383472442627,-2.5087852478027344,0.0,1.0,0.0
test,-1.4912571907043457,-3.901803970336914,0.0,0.0,1.0
test,-1.6647987365722656,-0.13830004632472992,1.0,0.0,0.0
test,-1.376952052116394,1.0411828756332397,0.0,1.0,0.0
test,1.0961910486221313,1.154582142829895,0.0,0.0,1.0
test,-0.5069470405578613,-0.09883952885866165,1.0,0.0,0.0
test,-0.768982470035553,-2.912229537963867,0.0,1.0,0.0
test,-1.962973952293396,-3.7935211658477783,0.0,0.0,1.0
test,-0.2609640061855316,-0.32944944500923157,1.0,0.0,0.0
test,-1.3972625732421875,-2.9042720794677734,0.0,1.0,0.0
test,0.5640170574188232,-3.4568684101104736,0.0,0.0,1.0
test,-2.0539560317993164,-1.0242739915847778,1.0,0.0,0.0
test,0.30636289715766907,0.5290265083312988,0.0,1.0,0.0
test,-0.2850690484046936,-3.8319294452667236,0.0,0.0,1.0
test,-1.689390778541565,-0.1576852798461914,1.0,0.0,0.0
test,0.5929455161094666,0.19548721611499786,0.0,1.0,0.0
test,0.5123927593231201,1.6228381395339966,0.0,0.0,1.0
test,-0.16560770571231842,-0.4821920692920685,1.0,0.0,0.0
test,-0.6721811294555664,1.0291736125946045,0.0,1.0,0.0
test,-4.051043510437012,-0.7274709343910217,0.0,0.0,1.0
test,-1.629754662513733,-1.7537384033203125,1.0,0.0,0.0
test,-2.908698081970215,-1.691735029220581,0.0,1.0,0.0
test,1.9385911226272583,-0.7925516963005066,0.0,0.0,1.0
test,-0.615393877029419,-0.03657560423016548,1.0,0.0,0.0
test,-2.5839438438415527,0.3597528636455536,0.0,1.0,0.0
test,-4.003053665161133,-1.5053378343582153,0.0,0.0,1.0
test,-0.9716091752052307,-1.9294902086257935,1.0,0.0,0.0
test,-2.1687917709350586,0.7300062775611877,0.0,1.0,0.0
test,0.26664620637893677,1.7584202289581299,0.0,0.0,1.0
test,-1.5955532789230347,-0.08993943780660629,1.0,0.0,0.0
test,0.5948790311813354,0.19265371561050415,0.0,1.0,0.0
test,-1.6440377235412598,-3.8754630088806152,0.0,0.0,1.0
