split,feature_0,feature_1,class_0,class_1,class_2,class_3
train,0.2606010437011719,-1.676039218902588,1.0,0.0,0.0,0.0
train,-2.1963706016540527,-0.5429551601409912,0.0,1.0,0.0,0.0
train,2.682664632797241,-1.5817826986312866,0.0,0.0,1.0,0.0
train,3.7505059242248535,-0.2507603168487549,0.0,0.0,0.0,1.0
train,0.29462671279907227,-1.6569124460220337,1.0,0.0,0.0,0.0
train,-2.2119743824005127,-0.7584804892539978,0.0,1.0,0.0,0.0
train,1.1971133947372437,-3.443235158920288,0.0,0.0,1.0,0.0
train,0.273058146238327,3.175516128540039,0.0,0.0,0.0,1.0
train,-0.5033917427062988,0.16176994144916534,1.0,0.0,0.0,0.0
train,-0.7195947170257568,-2.729522466659546,0.0,1.0,0.0,0.0
train,2.552671432495117,-1.9589272737503052,0.0,0.0,1.0,0.0
train,3.2590384483337402,1.192474126815796,0.0,0.0,0.0,1.0
train,-0.6200493574142456,0.11816960573196411,1.0,0.0,0.0,0.0
train,1.7301349639892578,-1.271289587020874,0.0,1.0,0.0,0.0
train,2.7717041969299316,-1.1042490005493164,0.0,0.0,1.0,0.0
train,-4.194070816040039,-0.4134141802787781,0.0,0.0,0.0,1.0
train,0.2648996114730835,0.08386415988206863,1.0,0.0,0.0,0.0
train,1.288563847541809,0.5269607901573181,0.0,1.0,0.0,0.0
train,-3.1852927207946777,-1.1966153383255005,0.0,0.0,1.0,0.0
train,-1.7276047468185425,2.906946897506714,0.0,0.0,0.0,1.0
val,0.16877540946006775,0.12961405515670776,1.0,0.0,0.0,0.0
val,-2.013685941696167,0.0739988386631012,0.0,1.0,0.0,0.0
val,-2.5801384449005127,-2.637037992477417,0.0,0.0,1.0,0.0
val,-1.5304323434829712,2.9816513061523438,0.0,0.0,0.0,1.0
val,0.7849032282829285,-0.7202767729759216,1.0,0.0,0.0,0.0
val,0.018118636682629585,-2.781608819961548,0.0,1.0,0.0,0.0
val,-1.7502754926681519,1.78085458278656,0.0,0.0,1.0,0.0
val,3.7718453407287598,-1.150641918182373,0.0,0.0,0.0,1.0
val,0.7728599309921265,-0.6233259439468384,1.0,0.0,0.0,0.0
val,-1.9956293106079102,-1.7003332376480103,0.0,1.0,0.0,0.0
val,1.675707221031189,-3.1263225078582764,0.0,0.0,1.0,0.0
val,0.7535740733146667,-4.676560401916504,0.0,0.0,0.0,1.0
val,-0.7029749751091003,0.0764191597700119,1.0,0.0,0.0,0.0
val,-2.1669809818267822,-1.2183042764663696,0.0,1.0,0.0,0.0
val,0.6010462045669556,-3.682565927505493,0.0,0.0,1.0,0.0
val,-4.205595016479492,-0.5633079409599304,0.0,0.0,0.0,1.0
val,0.6375746130943298,-0.2679527997970581,1.0,0.0,0.0,0.0
val,-2.2105114459991455,-0.8796473741531372,0.0,1.0,0.0,0.0
val,-2.8522629737854004,-2.2199289798736572,0.0,0.0,1.0,0.0
val,2.8431830406188965,1.7865419387817383,0.0,0.0,0.0,1.0
test,-0.6170898675918579,-1.7093398571014404,1.0,0.0,0.0,0.0
test,1.636491298675537,-1.5577813386917114,0.0,1.0,0.0,0.0
test,-0.18963879346847534,2.204987049102783,0.0,0.0,1.0,0.0
test,1.3709162473678589,2.8784098625183105,0.0,0.0,0.0,1.0
test,0.3804362416267395,-1.6003190279006958,1.0,0.0,0.0,0.0
test,1.7810144424438477,-0.9582408666610718,0.0,1.0,0.0,0.0
test,-1.025154948234558,-3.6827080249786377,0.0,0.0,1.0,0.0
test,3.786525249481201,-0.6982665657997131,0.0,0.0,0.0,1.0
test,0.696281373500824,-0.377233624458313,1.0,0.0,0.0,0.0
test,-1.68636953830719,-2.146643877029419,0.0,1.0,0.0,0.0
test,-2.6942899227142334,-2.480085611343384,0.0,0.0,1.0,0.0
test,3.641235828399658,0.27755141258239746,0.0,0.0,0.0,1.0
test,-0.4065978229045868,0.18601667881011963,1.0,0.0,0.0,0.0
test,0.8699803352355957,0.8869333863258362,0.0,1.0,0.0,0.0
test,-3.1968352794647217,-1.099211573600769,0.0,0.0,1.0,0.0
test,-2.1378695964813232,-4.3009514808654785,0.0,0.0,0.0,1.0
test,-0.36276665329933167,-1.783543348312378,1.0,0.0,0.0,0.0
test,1.3589410781860352,-2.0323362350463867,0.0,1.0,0.0,0.0
test,-3.119260549545288,-1.5362896919250488,0.0,0.0,1.0,0.0
test,2.266559362411499,-3.934230327606201,0.0,0.0,0.0,1.0
test,0.7508527636528015,-0.5259958505630493,1.0,0.0,0.0,0.0
test,0.3613249957561493,1.1210442781448364,0.0,1.0,0.0,0.0
test,-0.9951635003089905,2.101127862930298,0.0,0.0,1.0,0.0
test,-1.7127736806869507,2.912982940673828,0.0,0.0,0.0,1.0
test,0.6954541802406311,-0.37543895840644836,1.0,0.0,0.0,0.0
test,-2.15702486038208,-1.2619074583053589,0.0,1.0,0.0,0.0
test,-2.2049317359924316,1.4477152824401855,0.0,0.0,1.0,0.0
test,0.2557612359523773,3.1775925159454346,0.0,0.0,0.0,1.0
test,0.6421099305152893,-1.3145159482955933,1.0,0.0,0.0,0.0
test,-1.0269744396209717,1.031631350517273,0.0,1.0,0.0,0.0
test,-0.5308186411857605,-3.777971029281616,0.0,0.0,1.0,0.0
test,-2.276787281036377,2.6311373710632324,0.0,0.0,0.0,1.0
test,0.6261202692985535,-0.2499130368232727,1.0,0.0,0.0,0.0
test,1.0342636108398438,0.7690621614456177,0.0,1.0,0.0,0.0
test,-2.921874523162842,-2.0826542377471924,0.0,0.0,1.0,0.0
test,-4.06809139251709,-1.8593151569366455,0.0,0.0,0.0,1.0
test,0.7588845491409302,-1.0332292318344116,1.0,0.0,0.0,0.0
test,0.39105549454689026,1.1118906736373901,0.0,1.0,0.0,0.0
test,0.8606318831443787,2.0066442489624023,0.0,0.0,1.0,0.0
test,0.806868851184845,3.073054313659668,0.0,0.0,0.0,1.0
