split,feature_0,feature_1,class_0,class_1,class_2,class_3,class_4
train,0.4630899131298065,-1.5838756561279297,1.0,0.0,0.0,0.0,0.0
train,-0.45961543917655945,-2.0061700344085693,0.0,1.0,0.0,0.0,0.0
train,0.8258993625640869,-4.3332014083862305,0.0,0.0,1.0,0.0,0.0
train,-2.5308289527893066,-1.8310878276824951,0.0,0.0,0.0,1.0,0.0
train,-0.48165929317474365,-6.011534214019775,0.0,0.0,0.0,0.0,1.0
train,1.1284699440002441,-2.346280336380005,1.0,0.0,0.0,0.0,0.0
train,1.6771329641342163,0.5886444449424744,0.0,1.0,0.0,0.0,0.0
train,0.28829216957092285,-4.165680408477783,0.0,0.0,1.0,0.0,0.0
train,4.959695816040039,0.5129656791687012,0.0,0.0,0.0,1.0,0.0
train,3.0895872116088867,3.3241047859191895,0.0,0.0,0.0,0.0,1.0
train,0.8245429992675781,-2.1816422939300537,1.0,0.0,0.0,0.0,0.0
train,0.07240021228790283,0.056112732738256454,0.0,1.0,0.0,0.0,0.0
train,1.8006517887115479,1.5810072422027588,0.0,0.0,1.0,0.0,0.0
train,0.49602994322776794,2.487729787826538,0.0,0.0,0.0,1.0,0.0
train,6.04707670211792,0.558318018913269,0.0,0.0,0.0,0.0,1.0
train,1.8586691617965698,-2.3086347579956055,1.0,0.0,0.0,0.0,0.0
train,1.2286309003829956,0.5902771949768066,0.0,1.0,0.0,0.0,0.0
train,1.792649507522583,-4.377778053283691,0.0,0.0,1.0,0.0,0.0
train,-0.16787505149841309,2.2622153759002686,0.0,0.0,0.0,1.0,0.0
train,-3.115011215209961,-3.4474010467529297,0.0,0.0,0.0,0.0,1.0
train,2.2730207443237305,-0.8362622261047363,1.0,0.0,0.0,0.0,0.0
train,1.8188623189926147,0.5669550895690918,0.0,1.0,0.0,0.0,0.0
train,2.789544105529785,-4.080066204071045,0.0,0.0,1.0,0.0,0.0
train,1.084800124168396,-5.381604194641113,0.0,0.0,0.0,1.0,0.0
train,-3.4859423637390137,-2.2221872806549072,0.0,0.0,0.0,0.0,1.0
val,1.08538818359375,-0.4650615155696869,1.0,0.0,0.0,0.0,0.0
val,-0.5116764903068542,-1.8088704347610474,0.0,1.0,0.0,0.0,0.0
val,-1.525464653968811,-0.9825870394706726,0.0,0.0,1.0,0.0,0.0
val,1.5040552616119385,-5.397487640380859,0.0,0.0,0.0,1.0,0.0
val,-3.553569793701172,-1.3094134330749512,0.0,0.0,0.0,0.0,1.0
val,0.49518537521362305,-1.7087562084197998,1.0,0.0,0.0,0.0,0.0
val,2.235464334487915,0.4395267367362976,0.0,1.0,0.0,0.0,0.0
val,0.08046914637088776,-4.0692973136901855,0.0,0.0,1.0,0.0,0.0
val,3.354951858520508,2.116990566253662,0.0,0.0,0.0,1.0,0.0
val,3.982896089553833,2.9104926586151123,0.0,0.0,0.0,0.0,1.0
val,2.362637996673584,-1.7968214750289917,1.0,0.0,0.0,0.0,0.0
val,-0.5350557565689087,-1.1207550764083862,0.0,1.0,0.0,0.0,0.0
val,3.4447133541107178,0.8389887809753418,0.0,0.0,1.0,0.0,0.0
val,-0.8821355700492859,-4.650824546813965,0.0,0.0,0.0,1.0,0.0
val,1.0675922632217407,-6.38360071182251,0.0,0.0,0.0,0.0,1.0
val,2.00116229057312,-2.2294201850891113,1.0,0.0,0.0,0.0,0.0
val,0.0011177532142028213,-0.014680201187729836,0.0,1.0,0.0,0.0,0.0
val,-1.5478829145431519,-1.594838261604309,0.0,0.0,1.0,0.0,0.0
val,-2.3089866638183594,-0.018520545214414597,0.0,0.0,0.0,1.0,0.0
val,6.256462574005127,-0.035543907433748245,0.0,0.0,0.0,0.0,1.0
val,0.7494419813156128,-2.1157569885253906,1.0,0.0,0.0,0.0,0.0
val,0.772799551486969,0.4855075478553772,0.0,1.0,0.0,0.0,0.0
val,3.3078691959381104,-3.7499616146087646,0.0,0.0,1.0,0.0,0.0
val,2.156284809112549,-5.334281921386719,0.0,0.0,0.0,1.0,0.0
val,-2.354445695877075,1.851593255996704,0.0,0.0,0.0,0.0,1.0
test,2.396258592605591,-1.708296298980713,1.0,0.0,0.0,0.0,0.0
test,-0.2929143011569977,-2.386551856994629,0.0,1.0,0.0,0.0,0.0
test,3.9610745906829834,-3.0327301025390625,0.0,0.0,1.0,0.0,0.0
test,3.458106279373169,-4.85479211807251,0.0,0.0,0.0,1.0,0.0
test,6.419118881225586,-1.9122850894927979,0.0,0.0,0.0,0.0,1.0
test,2.4455604553222656,-1.3847581148147583,1.0,0.0,0.0,0.0,0.0
test,3.385000467300415,-0.9091323018074036,0.0,1.0,0.0,0.0,0.0
