split,feature_0,feature_1,class_0,class_1,class_2,class_3,class_4,class_5
train,-0.41010403633117676,1.1098949909210205,1.0,0.0,0.0,0.0,0.0,0.0
train,1.0037046670913696,-0.8538640737533569,0.0,1.0,0.0,0.0,0.0,0.0
train,1.3758668899536133,-1.986492395401001,0.0,0.0,1.0,0.0,0.0,0.0
train,-4.005669593811035,2.4415931701660156,0.0,0.0,0.0,1.0,0.0,0.0
train,-4.488370418548584,-3.127655029296875,0.0,0.0,0.0,0.0,1.0,0.0
train,0.0343339778482914,-5.792971134185791,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.2076246589422226,1.017708420753479,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.715773820877075,0.299001544713974,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.119145393371582,-1.6426739692687988,0.0,0.0,1.0,0.0,0.0,0.0
train,3.240933895111084,-0.39365649223327637,0.0,0.0,0.0,1.0,0.0,0.0
train,-3.181605100631714,4.511778354644775,0.0,0.0,0.0,0.0,1.0,0.0
train,-1.6049124002456665,6.093822002410889,0.0,0.0,0.0,0.0,0.0,1.0
train,0.07768210023641586,0.7615479230880737,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.7130026817321777,0.33413946628570557,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.4882242679595947,-0.9984896183013916,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.2408479452133179,4.125369548797607,0.0,0.0,0.0,1.0,0.0,0.0
train,-4.746993064880371,3.1238980293273926,0.0,0.0,0.0,0.0,1.0,0.0
train,1.377722144126892,5.780442714691162,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.5020947456359863,0.7833207845687866,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.3964096307754517,2.041719436645508,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.711906671524048,-0.06961571425199509,0.0,0.0,1.0,0.0,0.0,0.0
train,3.2637898921966553,0.5117446780204773,0.0,0.0,0.0,1.0,0.0,0.0
train,2.4851717948913574,3.996351480484009,0.0,0.0,0.0,0.0,1.0,0.0
train,5.270795822143555,-0.1608249396085739,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.5454484820365906,1.1438701152801514,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.8780918121337891,-1.8344552516937256,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.4416775703430176,-1.1040068864822388,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.020845651626587,-3.1131417751312256,0.0,0.0,0.0,1.0,0.0,0.0
train,-5.571740627288818,1.3705278635025024,0.0,0.0,0.0,0.0,1.0,0.0
train,4.318585395812988,3.4160311222076416,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.0308589935302734,1.1100090742111206,1.0,0.0,0.0,0.0,0.0,0.0
val,0.3978763222694397,-1.4986375570297241,0.0,1.0,0.0,0.0,0.0,0.0
val,2.2472095489501953,-0.27858075499534607,0.0,0.0,1.0,0.0,0.0,0.0
val,0.7421241402626038,3.882277488708496,0.0,0.0,0.0,1.0,0.0,0.0
val,-5.637049198150635,-0.7512001991271973,0.0,0.0,0.0,0.0,1.0,0.0
val,-6.007461071014404,-2.6778595447540283,0.0,0.0,0.0,0.0,0.0,1.0
val,0.18480458855628967,0.5837686657905579,1.0,0.0,0.0,0.0,0.0,0.0
val,-0.6779961585998535,-1.840206265449524,0.0,1.0,0.0,0.0,0.0,0.0
val,0.3383259177207947,2.9662153720855713,0.0,0.0,1.0,0.0,0.0,0.0
val,-4.720402717590332,0.20437079668045044,0.0,0.0,0.0,1.0,0.0,0.0
val,-3.180966854095459,-4.193461894989014,0.0,0.0,0.0,0.0,1.0,0.0
val,-6.688021659851074,0.7842792868614197,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.3073153495788574,0.9691725969314575,1.0,0.0,0.0,0.0,0.0,0.0
val,0.1650078296661377,-1.6338704824447632,0.0,1.0,0.0,0.0,0.0,0.0
val,0.9740588665008545,-2.316129207611084,0.0,0.0,1.0,0.0,0.0,0.0
val,1.1138107776641846,3.7138752937316895,0.0,0.0,0.0,1.0,0.0,0.0
val,4.125999450683594,-1.0694528818130493,0.0,0.0,0.0,0.0,1.0,0.0
val,4.363253593444824,3.345851182937622,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.4275543689727783,0.8666539788246155,1.0,0.0,0.0,0.0,0.0,0.0
val,-1.6859854459762573,-1.5922719240188599,0.0,1.0,0.0,0.0,0.0,0.0
val,0.9422668218612671,-2.337596893310547,0.0,0.0,1.0,0.0,0.0,0.0
val,-0.2775702476501465,4.1347222328186035,0.0,0.0,0.0,1.0,0.0,0.0
val,-1.7519724369049072,5.051821231842041,0.0,0.0,0.0,0.0,1.0,0.0
val,2.97092866897583,4.889265060424805,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.5327236652374268,0.7429021596908569,1.0,0.0,0.0,0.0,0.0,0.0
val,-1.6440211534500122,-1.6147518157958984,0.0,1.0,0.0,0.0,0.0,0.0
val,-3.691149950027466,-0.26038429141044617,0.0,0.0,1.0,0.0,0.0,0.0
val,-2.0062289237976074,3.947122097015381,0.0,0.0,0.0,1.0,0.0,0.0
