split,feature_0,feature_1,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7
train,0.19762565195560455,-1.4273083209991455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.1618287563323975,-1.6131484508514404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.149275779724121,0.980377733707428,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,5.1818742752075195,-1.5135183334350586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,5.569667339324951,-3.6986124515533447,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.2573623657226562,-7.1938066482543945,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,7.642430305480957,1.4197745323181152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.808287143707275,-5.169293403625488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.7907124757766724,-2.2074830532073975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.0410373210906982,-3.0988664627075195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.5962883830070496,1.1217591762542725,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.6226149797439575,1.5561503171920776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.1244120597839355,2.455423593521118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.3661386966705322,4.707512378692627,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.029454044997692108,-8.19328498840332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,2.2445273399353027,-9.219791412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.692635416984558,-2.153256416320801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.6760491132736206,0.649725079536438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.5102139711380005,-4.2725067138671875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,3.196007490158081,-4.7493896484375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,1.7120050191879272,3.682633638381958,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.7778635025024414,-4.657171726226807,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,7.749886989593506,-3.7277519702911377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.155792236328125,4.663511276245117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.3383383750915527,-0.30119162797927856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.6955363750457764,-0.6176925301551819,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.21105045080184937,1.5465792417526245,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,4.976268768310547,-2.5743792057037354,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.09527530521154404,-6.168951034545898,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
