split,feature_0,feature_1,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,0.34569036960601807,-0.2800152599811554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.653799533843994,-0.2960713803768158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.1398494243621826,-1.40359365940094,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.5083541870117188,-2.759906768798828,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-4.503595352172852,2.880204677581787,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,4.335930824279785,-3.642301559448242,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,6.037661075592041,1.7448357343673706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-8.284882545471191,-2.711852788925171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.787449359893799,-8.304905891418457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.32833707332611084,-0.49822694063186646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.13932153582572937,1.5256726741790771,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.28679555654525757,2.667137861251831,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.0559794902801514,-4.29005765914917,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.776557207107544,-4.83736515045166,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.8027853965759277,4.59392786026001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,4.40987491607666,4.522759914398193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,7.312565326690674,0.4219474494457245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-9.403207778930664,1.7988812923431396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.5354784727096558,0.16162210702896118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.7309653162956238,-1.7533353567123413,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.3310952186584473,-0.010154412128031254,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.7270371913909912,3.6890079975128174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,3.0223793983459473,-3.6993248462677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,4.422266483306885,2.888589382171631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.4837123453617096,-7.308254718780518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.103644847869873,7.677022933959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.80127477645874,7.677096843719482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.1778064966201782,-1.1620676517486572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.1410250663757324,0.5719602108001709,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.765066623687744,1.8210539817810059,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.6045284271240234,-3.8024356365203857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,3.1012954711914062,2.9910225868225098,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.907508134841919,4.518416881561279,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,6.1032233238220215,-2.138425350189209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-8.156452178955078,2.466539144515991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-9.599750518798828,-1.2956531047821045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.1568087488412857,-0.8958410620689392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.578885555267334,-0.8527602553367615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.1759705543518066,-1.3063714504241943,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.999544382095337,2.9296958446502686,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.3958408832550049,4.250244140625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,4.364495277404785,-3.599123239517212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.1259517669677734,6.2386250495910645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,7.103152751922607,-2.2670812606811523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-3.9114983081817627,-8.700061798095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.553199291229248,0.6845992803573608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.6666852831840515,1.6896363496780396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.407827615737915,-2.4896538257598877,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,2.4872403144836426,2.1662778854370117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-4.455398082733154,-3.5581271648406982,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,4.433934211730957,2.870000123977661,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,4.568692207336426,-4.971336364746094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-7.1334919929504395,-5.002256393432617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,8.333288192749023,0.1706552654504776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.09025068581104279,0.3577446937561035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
