split,feature_0,feature_1,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,-0.15415474772453308,0.23143312335014343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.6455421447753906,1.2422341108322144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.4891116619110107,-2.6336634159088135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.2649391889572144,3.7813847064971924,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.65130615234375,-2.5498406887054443,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.598131775856018,-5.705409049987793,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,1.3149737119674683,-7.16345739364624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-4.602499961853027,5.755591869354248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.7227426767349243,-8.838255882263184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-7.941085338592529,4.752220153808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.02162054181098938,0.44455230236053467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.6909422874450684,-1.9531935453414917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.8064752817153931,-3.1854755878448486,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.1771817207336426,-0.921580970287323,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,5.575576305389404,1.1399978399276733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.14183993637561798,5.782705307006836,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,6.934241771697998,3.102217435836792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,8.281622886657715,2.524010181427002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-3.0940394401550293,-8.321529388427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.529516696929932,-7.9647440910339355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.751863956451416,-0.11216878145933151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.442654609680176,-1.2585052251815796,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.6137170791625977,0.7225788831710815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.7339606285095215,0.21977443993091583,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.6181254386901855,2.987886428833008,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-3.965122699737549,3.5187125205993652,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,6.307496547698975,4.076141357421875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,6.342887878417969,5.538662433624268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,4.655990123748779,7.92450475692749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.4263690412044525,9.744097709655762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.959056556224823,0.7929486036300659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.8875139355659485,-1.3276348114013672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.8652043342590332,-3.183884382247925,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.244455575942993,-0.09843666851520538,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.0288405418396,-3.9647164344787598,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-4.157647609710693,3.25935435295105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.7850770950317383,5.853179454803467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,8.754398345947266,-0.24092037975788116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,8.946362495422363,-3.913501501083374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-8.409003257751465,3.8176496028900146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.17664803564548492,-0.5503420233726501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.074406385421753,-2.1601877212524414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.9713472127914429,-1.4386332035064697,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.0422780513763428,-3.045564651489258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.8918185234069824,-2.0327892303466797,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.9928243160247803,-4.871743679046631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,7.646143913269043,-1.413300633430481,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,3.3999080657958984,7.364060878753662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-7.423254013061523,-3.943970203399658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
