split,feature_0,feature_1,feature_2,class_0,class_1,class_2,class_3,class_4,class_5
train,-1.353765845298767,-0.688461422920227,0.04751165211200714,1.0,0.0,0.0,0.0,0.0,0.0
train,0.24314096570014954,-0.7216330766677856,0.5792191624641418,0.0,1.0,0.0,0.0,0.0,0.0
train,0.0827360451221466,2.4338040351867676,-1.1779367923736572,0.0,0.0,1.0,0.0,0.0,0.0
train,-4.03848934173584,-3.016214370727539,-0.74665367603302,0.0,0.0,0.0,1.0,0.0,0.0
train,1.2677196264266968,2.075627326965332,-4.545351982116699,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.402035236358643,-4.457333087921143,-0.349102646112442,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.5806009769439697,-0.9831278920173645,-0.3267945349216461,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.2209787368774414,-0.6531624794006348,0.780573844909668,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.4406099319458008,2.5944530963897705,-0.4195728600025177,0.0,0.0,1.0,0.0,0.0,0.0
train,0.37994304299354553,1.2572659254074097,2.5328783988952637,0.0,0.0,0.0,1.0,0.0,0.0
train,-4.79536771774292,2.9970717430114746,-0.14527349174022675,0.0,0.0,0.0,0.0,1.0,0.0
train,0.8043122887611389,0.9391201734542847,4.71251916885376,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.414106011390686,0.05859316140413284,-1.7189311981201172,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.7040007710456848,-2.2428343296051025,-1.1078338623046875,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.6138787269592285,-1.2371342182159424,1.57694411277771,0.0,0.0,1.0,0.0,0.0,0.0
train,0.8375142216682434,-3.610100746154785,-1.9749619960784912,0.0,0.0,0.0,1.0,0.0,0.0
train,3.538210153579712,-1.2214399576187134,0.778620719909668,0.0,0.0,0.0,0.0,1.0,0.0
train,2.765313148498535,4.034249305725098,0.6583164930343628,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.4587184190750122,-0.7756860256195068,-1.644576072692871,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.056764841079712,-1.737937331199646,0.5511505007743835,0.0,1.0,0.0,0.0,0.0,0.0
train,0.6363245248794556,1.8611533641815186,-1.9800070524215698,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.4665896892547607,0.21063978970050812,3.11075758934021,0.0,0.0,0.0,1.0,0.0,0.0
train,0.8543636202812195,1.453134298324585,-5.093173980712891,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.349919319152832,2.5198874473571777,-4.001674175262451,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.6184463500976562,-0.9667549729347229,-0.3002432584762573,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.1539031267166138,1.6976702213287354,-0.804154634475708,0.0,1.0,0.0,0.0,0.0,0.0
train,1.8218507766723633,-0.3584214746952057,-0.1719314455986023,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.9341786503791809,-3.002405881881714,2.105924606323242,0.0,0.0,0.0,1.0,0.0,0.0
train,3.289407968521118,-2.691279888153076,-0.8651667237281799,0.0,0.0,0.0,0.0,1.0,0.0
train,3.21260929107666,0.714853048324585,-4.882900238037109,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.7921035289764404,-0.543688952922821,-0.15729349851608276,1.0,0.0,0.0,0.0,0.0,0.0
val,0.1064193993806839,0.617744505405426,-2.141169786453247,0.0,1.0,0.0,0.0,0.0,0.0
