split,feature_0,feature_1,feature_2,class_0,class_1,class_2,class_3,class_4,class_5,class_6
train,0.3826794922351837,1.829837679862976,0.6042649149894714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.8660166263580322,1.2528584003448486,-0.33241716027259827,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.7063442468643188,-0.010987924411892891,1.797908067703247,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,4.630245685577393,3.1343910694122314,0.9574467539787292,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.4050235748291016,6.51945686340332,-0.4231300354003906,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,3.9593448638916016,1.0393288135528564,-5.252243995666504,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,6.4014573097229,6.4797749519348145,-0.28823554515838623,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.38905221223831177,1.3887383937835693,-0.6102331876754761,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.848330557346344,1.6207472085952759,0.580423891544342,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,2.3414647579193115,0.813442051410675,2.131491184234619,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.7640304565429688,0.27540531754493713,2.868330240249634,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,5.765650272369385,1.1442941427230835,0.6808773279190063,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,1.2838020324707031,6.83774995803833,-3.8563010692596436,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,0.5076011419296265,-0.8638519644737244,6.142273902893066,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.8970775604248047,1.2564945220947266,-0.7043725848197937,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.7334226369857788,2.14652419090271,-1.282326579093933,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.20998969674110413,-0.5470989942550659,-0.9804107546806335,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,4.209917068481445,0.1867629587650299,1.0793817043304443,0.0,0.0,0.0,1.0,0.0,0.0,0.0
