split,feature_0,feature_1,feature_2,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7
train,-1.5366485118865967,-1.4307715892791748,0.2481565922498703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.6169697046279907,0.8947398662567139,1.4633722305297852,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-4.988224029541016,-1.0539779663085938,0.9693107008934021,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.426295280456543,1.918889045715332,-1.631001591682434,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.4839389324188232,-5.121598720550537,3.865082263946533,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-2.0964415073394775,-7.018809795379639,0.8013620972633362,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-2.8193113803863525,-7.5486602783203125,-1.3554178476333618,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,5.306807041168213,-3.138413429260254,-1.4678577184677124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-2.044473171234131,-0.5624442100524902,1.9270715713500977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.00786842405796051,-1.036900281906128,1.1486303806304932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.4811146855354309,-1.0866003036499023,-0.659026026725769,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.3065318763256073,-4.152853965759277,2.0132737159729004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.225472927093506,-4.57034969329834,4.343410968780518,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.9169100522994995,-3.785975456237793,5.5061845779418945,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-5.518112659454346,2.2660560607910156,6.11335563659668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,5.73914909362793,-2.5496599674224854,2.436998128890991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.3282872438430786,-1.7728240489959717,1.0992923974990845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.8509767055511475,-1.7530992031097412,0.9849779009819031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.5969164371490479,-2.5751428604125977,-1.4960938692092896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-4.420433044433594,1.9674623012542725,-0.02428012527525425,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.630969285964966,2.4547555446624756,-2.4910404682159424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,3.8635852336883545,-1.9128144979476929,2.019437313079834,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,1.8472163677215576,-4.1907830238342285,5.967109680175781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,5.074936866760254,-2.4232757091522217,-2.4423987865448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.8475397825241089,-0.32069605588912964,0.3459707200527191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.375953197479248,-2.806086301803589,0.37105312943458557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.9719675779342651,-4.013520240783691,0.7850320935249329,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-5.694926738739014,-2.191981077194214,0.09059298038482666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.7303614616394043,-1.5745207071304321,-3.6126952171325684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.20847749710083,4.326746940612793,-1.3821823596954346,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-4.025666236877441,-3.9567525386810303,7.063241958618164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.561081886291504,-3.9714176654815674,7.565659523010254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-2.4326107501983643,-0.14131537079811096,1.1944608688354492,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.415087938308716,-1.9878727197647095,2.0613434314727783,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.628846287727356,1.5564639568328857,2.5280075073242188,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-3.5504651069641113,2.6480181217193604,1.3149681091308594,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-6.774962902069092,-0.4060060679912567,2.3512988090515137,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.4568515717983246,-1.385171890258789,6.831788063049316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.6216467618942261,-7.51930570602417,0.9977666139602661,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,1.0089999437332153,4.855616569519043,-3.4783644676208496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.7852369546890259,-1.6752277612686157,0.3105159401893616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.0084377527236938,-0.7075790762901306,-0.67192542552948,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.1633856296539307,-3.2284462451934814,-0.9859918355941772,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.053521472960710526,-1.1830871105194092,-2.3934082984924316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-6.456863880157471,-0.01387880090624094,-0.9627202153205872,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-4.120085716247559,-0.5169708132743835,6.627852916717529,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-5.691385269165039,1.242688536643982,-4.4492387771606445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,5.617354869842529,-1.4265938997268677,-1.4029996395111084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.8737621307373047,-0.07521910965442657,0.749847412109375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.850619316101074,-0.111699178814888,2.599123954772949,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-4.384191513061523,-2.0491135120391846,2.530148506164551,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.389213889837265,-2.4578933715820312,-1.8369965553283691,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-1.4530913829803467,-0.36228930950164795,-3.884862184524536,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,0.5949220657348633,-0.5097823739051819,-4.348465919494629,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,2.3274099826812744,1.8946833610534668,5.7157769203186035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-1.706719994544983,-0.4806798994541168,9.018477439880371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.2358858585357666,-1.654823660850525,1.2297581434249878,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.17327065765857697,-0.942089319229126,0.20807494223117828,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.0101237297058105,1.0986318588256836,-1.0773178339004517,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-3.70919132232666,-1.6934146881103516,4.5908613204956055,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-6.861534118652344,-1.433676838874817,2.0876901149749756,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-2.0652904510498047,4.6590681076049805,-0.8789947032928467,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,2.1901514530181885,2.419919013977051,5.476846218109131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-5.617176055908203,1.9621243476867676,7.516375541687012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.6713491678237915,-0.1482313573360443,0.6801536679267883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-3.7232882976531982,-0.8109973073005676,2.015378713607788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.03250627592206001,1.2435086965560913,1.2058956623077393,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-5.327229976654053,0.16016533970832825,2.900545358657837,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,0.3597254455089569,-4.347404479980469,3.947376012802124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,1.5150991678237915,-0.8541043400764465,5.90927791595459,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-7.995769500732422,2.0316786766052246,-0.8503351211547852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-6.581533432006836,-7.477200031280518,2.1710658073425293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
