split,feature_0,feature_1,feature_2,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,0.9893096685409546,-0.7184839248657227,-1.1673846244812012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.062220811843872,-2.271507740020752,-0.9788596630096436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.3365249633789062,-0.25069576501846313,-1.8809765577316284,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.132957935333252,-3.421442985534668,0.5949305891990662,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.389807939529419,-2.220266580581665,2.1978912353515625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.0845561027526855,2.157494068145752,1.37864351272583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,6.206211090087891,2.572648286819458,-0.5788941979408264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,5.371846675872803,4.946267127990723,-2.420701265335083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,0.8845986723899841,-8.360895156860352,-7.470639705657959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.4754473865032196,-2.1492254734039307,-2.425689697265625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.2419196367263794,-2.475099802017212,-0.07873188704252243,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.484443426132202,-2.950852870941162,-3.487375259399414,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.5270262956619263,1.5517940521240234,-3.3947207927703857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.5104226469993591,-6.284142017364502,-0.5779643058776855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-1.0846883058547974,4.04833984375,-3.5623714923858643,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,5.947916507720947,1.5967378616333008,1.5779993534088135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,5.3732991218566895,4.9739484786987305,-2.0424742698669434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,8.123329162597656,-0.9939175844192505,3.1416327953338623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.476983904838562,-0.43104496598243713,-1.6697161197662354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.4536014795303345,-3.189394235610962,-2.0831336975097656,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.0217642784118652,-3.161733627319336,-1.6661852598190308,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.5339557528495789,-5.301905632019043,-0.7703871726989746,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.065199375152588,-0.33901986479759216,-5.849275588989258,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,4.7882890701293945,2.1843011379241943,-4.0403523445129395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,4.138454437255859,-6.1535210609436035,-5.480642318725586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,8.11435604095459,1.006021499633789,-0.602107584476471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,5.596569061279297,-3.3356118202209473,5.47611665725708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.34514814615249634,-1.9592164754867554,-2.557220220565796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.8429731726646423,0.48688390851020813,-2.2774734497070312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.3194892108440399,-4.101778030395508,-3.0715160369873047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.1519501805305481,-4.698294639587402,0.4308835566043854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,5.039424896240234,-3.6131114959716797,-2.295560359954834,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,4.251930236816406,3.2410175800323486,-0.8788236379623413,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,5.9741530418396,2.845196485519409,-3.037536144256592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,7.139436721801758,-5.921266078948975,-2.592967987060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-8.09410572052002,0.7011266946792603,-0.6160233020782471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.9714422225952148,-0.7410098314285278,-2.362788677215576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.362941265106201,-1.0715728998184204,-0.9143111109733582,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.44669771194458,-1.1384246349334717,-4.075882911682129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.26523399353027344,1.3013415336608887,-4.658079147338867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.5983103513717651,-5.79152250289917,-3.8746743202209473,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,3.9857943058013916,3.32369065284729,-3.10929536819458,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-5.55569314956665,-4.5461225509643555,-0.4734216034412384,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,4.532691478729248,3.8761696815490723,-6.2496018409729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.666667938232422,5.865198135375977,-2.3563835620880127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.3983062207698822,-2.406095027923584,-1.7782915830612183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.0181251764297485,-0.396111398935318,-2.3759853839874268,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.28656908869743347,1.456805944442749,-0.9574785828590393,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.399693727493286,-0.754339337348938,1.0095102787017822,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,0.5483129024505615,-2.180436849594116,-6.68821382522583,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-4.123589992523193,-2.7912158966064453,-5.212961196899414,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,7.164890289306641,0.20910724997520447,-3.4646568298339844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-5.286518573760986,-5.360896587371826,2.00846266746521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-5.0452165603637695,5.2501325607299805,0.4552019536495209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.2311015129089355,-0.914627194404602,-1.1843219995498657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.8559978008270264,-0.142947718501091,-1.1944494247436523,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.4598573446273804,-1.9905152320861816,-4.556854248046875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.3649759292602539,-1.1531462669372559,-5.731196403503418,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,1.633521318435669,0.18714675307273865,-6.36057186126709,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,2.271585464477539,2.156999111175537,-6.253429412841797,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-3.4688854217529297,-3.3657264709472656,-7.116827011108398,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-6.459438323974609,-1.7688875198364258,2.0421218872070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-6.044630527496338,-4.870227813720703,-6.771211624145508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.7240203022956848,-2.4110841751098633,-1.7949869632720947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.588308572769165,-2.511256217956543,-0.40601831674575806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,0.3603436350822449,-3.127516746520996,-4.205075263977051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.1426801681518555,-4.348101615905762,-1.945038914680481,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,2.4083359241485596,-6.0213518142700195,-2.457324504852295,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,3.9092624187469482,-1.395950198173523,3.2444002628326416,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-5.035129547119141,-2.2866621017456055,-5.837831020355225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-4.087793827056885,-7.254956245422363,1.1201753616333008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,8.52537727355957,-2.8338303565979004,2.235705852508545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.0479401350021362,-0.6924187541007996,-1.2502521276474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.293067067861557,0.37678980827331543,-1.7851146459579468,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.193849802017212,-1.3473923206329346,-0.27856457233428955,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.336512088775635,-1.349001169204712,-3.1137471199035645,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
