split,feature_0,feature_1,feature_2,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,-0.5908059477806091,2.43161678314209,-0.16946735978126526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.27768704295158386,2.4807844161987305,-0.7851076722145081,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.9850480556488037,4.819961071014404,0.6772090196609497,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.913412570953369,4.46751594543457,-1.021855115890503,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.5817500352859497,-1.1827231645584106,3.2095556259155273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.6674147844314575,-4.040270805358887,0.5994095206260681,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,5.572941780090332,0.8241210579872131,-0.9556349515914917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.2154319286346436,-0.4962385892868042,7.273097991943359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,6.301235675811768,2.2125964164733887,5.432279586791992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.8071417808532715,-2.755610704421997,-7.602256774902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.2847535312175751,1.5546852350234985,0.6321618556976318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.2212965488433838,1.3943274021148682,2.3812384605407715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.8530946969985962,2.548215389251709,2.5627481937408447,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.3596184253692627,3.882197856903076,-2.2850115299224854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.4788215160369873,1.1516958475112915,3.7584259510040283,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,4.075791835784912,0.8901844620704651,3.130176305770874,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-4.805871486663818,-0.7951089143753052,-4.881828784942627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,4.481466770172119,4.050505638122559,5.683591365814209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-8.17463207244873,-0.20868413150310516,-4.80308198928833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-7.806290149688721,4.441587448120117,-6.613526344299316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.5902948975563049,2.6455702781677246,0.8194879293441772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.8613258004188538,3.047092914581299,-1.1730128526687622,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.2535862922668457,3.0245120525360107,-1.4323523044586182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.580397129058838,4.244965076446533,-1.7718011140823364,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.7506580352783203,0.41154271364212036,3.1259865760803223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-7.105729579925537,1.0436899662017822,-0.03540083020925522,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-6.189654350280762,2.3430733680725098,5.3409528732299805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,6.393914699554443,-0.584157407283783,0.7684428691864014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,3.571014404296875,7.1153459548950195,-5.153989791870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,2.0736405849456787,3.2833402156829834,-8.898932456970215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.887215793132782,1.7835133075714111,-0.48417219519615173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.37922897934913635,0.7167010307312012,0.2439161241054535,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.07096834480762482,0.057404521852731705,-1.5133414268493652,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.5758323669433594,-0.9955079555511475,-1.889119267463684,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.11379866302013397,-2.134526014328003,3.1531734466552734,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-7.015066623687744,2.6008646488189697,1.742894172668457,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,1.0438520908355713,-2.7572643756866455,-4.232466697692871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.04587450250983238,-5.939952373504639,1.1279125213623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-8.9002685546875,-2.252060651779175,-1.5594654083251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-3.4267404079437256,-7.442463397979736,-2.203538656234741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-2.0557239055633545,1.4543424844741821,0.3005383312702179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.5784325003623962,1.1068848371505737,0.8771679401397705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.2051485776901245,4.1379313468933105,-1.024986743927002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.1919543743133545,5.134645462036133,0.7309181094169617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.7357951402664185,-2.1879539489746094,-1.613510012626648,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.845125913619995,7.688295841217041,0.8665781617164612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,4.348951816558838,0.33104798197746277,4.4204816818237305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.6424057483673096,-2.2453019618988037,6.659752368927002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-2.3542606830596924,-2.5559334754943848,8.168400764465332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,5.866025924682617,8.558343887329102,2.9670236110687256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.429299235343933,1.0934898853302002,0.9416254162788391,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.20739705860614777,3.5930960178375244,-0.07309762388467789,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.1335840225219727,-0.4654344320297241,1.989776372909546,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-3.452733278274536,-0.4933568239212036,2.6909401416778564,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.448683977127075,5.770122528076172,-2.4960453510284424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-6.325922966003418,4.917848110198975,1.3232020139694214,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,3.9778947830200195,-0.12051575630903244,-3.7914645671844482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,5.685026168823242,-0.9398511052131653,-2.447991132736206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,-0.7250772714614868,5.947281837463379,8.498467445373535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,6.464559078216553,-2.740741729736328,-3.9604790210723877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-1.0024688243865967,2.125670909881592,-0.5071340203285217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-3.145925283432007,1.9320529699325562,0.8857932090759277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,1.2984623908996582,2.7766342163085938,-0.9883342385292053,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.04491626098752022,-1.620223879814148,-0.9735106229782104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
