split,feature_0,feature_1,feature_2,feature_3,class_0,class_1,class_2,class_3
train,0.15017740428447723,-1.943627119064331,-0.2711104154586792,0.6198903322219849,1.0,0.0,0.0,0.0
train,0.29179584980010986,-2.7925076484680176,-2.5653982162475586,-0.022374814376235008,0.0,1.0,0.0,0.0
train,-0.07089267671108246,-0.6472314596176147,-0.6361904740333557,-2.172663688659668,0.0,0.0,1.0,0.0
train,1.9432393312454224,-4.563147068023682,-1.0009398460388184,-2.9069600105285645,0.0,0.0,0.0,1.0
train,1.2708810567855835,-2.5406739711761475,-0.6032058596611023,-0.6840142011642456,1.0,0.0,0.0,0.0
train,1.4399480819702148,-3.0797436237335205,-1.6159132719039917,-1.3124953508377075,0.0,1.0,0.0,0.0
train,1.159705638885498,-4.99677038192749,0.22797811031341553,0.9384424090385437,0.0,0.0,1.0,0.0
train,3.9094231128692627,-2.4155712127685547,0.41516047716140747,2.4741005897521973,0.0,0.0,0.0,1.0
train,1.3707355260849,-2.158926248550415,-1.3839865922927856,-0.35340696573257446,1.0,0.0,0.0,0.0
train,1.0744932889938354,-0.3535308241844177,-0.45008203387260437,0.5966399908065796,0.0,1.0,0.0,0.0
train,1.4298110008239746,-1.2961015701293945,-0.1793186068534851,-2.5480117797851562,0.0,0.0,1.0,0.0
train,1.4858410358428955,-5.4469523429870605,-1.3177260160446167,2.44854474067688,0.0,0.0,0.0,1.0
train,0.8811972737312317,-1.749193787574768,-1.574521780014038,0.15152911841869354,1.0,0.0,0.0,0.0
train,2.550990343093872,-1.5503894090652466,-0.2729608118534088,0.7757154703140259,0.0,1.0,0.0,0.0
train,0.319382905960083,-1.646818995475769,-1.3705458641052246,2.9854884147644043,0.0,0.0,1.0,0.0
train,1.2403557300567627,-4.989467144012451,-2.4061479568481445,-2.2043027877807617,0.0,0.0,0.0,1.0
train,-0.004132028669118881,-1.768913745880127,-0.8616291880607605,0.220724955201149,1.0,0.0,0.0,0.0
train,0.3898260295391083,-0.7085698843002319,0.41194549202919006,-0.03951002657413483,0.0,1.0,0.0,0.0
train,1.3233706951141357,-0.16022661328315735,-2.5098061561584473,-0.8825213313102722,0.0,0.0,1.0,0.0
train,-2.63818097114563,-3.74518084526062,-1.714113712310791,1.0219019651412964,0.0,0.0,0.0,1.0
val,0.3461601734161377,-2.9517226219177246,-0.9033607840538025,-0.3376375436782837,1.0,0.0,0.0,0.0
val,0.5730465650558472,-3.3885433673858643,-2.3207204341888428,0.5463143587112427,0.0,1.0,0.0,0.0
val,3.122152090072632,-0.7762196063995361,-1.8408735990524292,-0.39928844571113586,0.0,0.0,1.0,0.0
val,1.3569021224975586,1.5719491243362427,0.23907123506069183,0.2700232267379761,0.0,0.0,0.0,1.0
val,0.7592840194702148,-2.2659575939178467,-0.23485811054706573,1.0400829315185547,1.0,0.0,0.0,0.0
val,-0.5540044903755188,-3.6233229637145996,-0.36101531982421875,0.4725525975227356,0.0,1.0,0.0,0.0
val,-0.6184672117233276,-3.9403982162475586,-2.1881775856018066,1.5661211013793945,0.0,0.0,1.0,0.0
val,-0.01127914059907198,-2.3957393169403076,-2.133017063140869,-3.4697070121765137,0.0,0.0,0.0,1.0
val,1.1176884174346924,-2.401498556137085,-0.006426673848181963,-0.4547872841358185,1.0,0.0,0.0,0.0
val,0.08488728851079941,-3.0892295837402344,0.761111855506897,-0.5684008598327637,0.0,1.0,0.0,0.0
val,0.31641367077827454,-4.534101963043213,-2.588289260864258,-0.20767353475093842,0.0,0.0,1.0,0.0
val,-0.4107832610607147,0.9248193502426147,1.061129093170166,1.1680089235305786,0.0,0.0,0.0,1.0
val,0.406735897064209,-2.0109641551971436,-1.2871694564819336,-0.4761827886104584,1.0,0.0,0.0,0.0
val,0.5665825605392456,-3.1744794845581055,-1.232755422592163,1.8625767230987549,0.0,1.0,0.0,0.0
val,0.4333735406398773,-2.3577356338500977,-2.4079198837280273,-2.2747702598571777,0.0,0.0,1.0,0.0
val,-1.6157481670379639,-2.564713478088379,0.6499328017234802,-2.6494839191436768,0.0,0.0,0.0,1.0
val,0.5092703104019165,-1.7555277347564697,0.04622207209467888,0.3205011188983917,1.0,0.0,0.0,0.0
val,1.5440926551818848,-1.435111165046692,-0.17065104842185974,-1.4082423448562622,0.0,1.0,0.0,0.0
val,2.134885311126709,-2.2784101963043213,-2.898510217666626,1.789815068244934,0.0,0.0,1.0,0.0
val,-0.0602685809135437,-5.861666679382324,-1.0330102443695068,-1.3173563480377197,0.0,0.0,0.0,1.0
test,0.6123284697532654,-2.783538818359375,-0.34670329093933105,0.9102514386177063,1.0,0.0,0.0,0.0
test,1.8690744638442993,-3.423006296157837,-0.7451951503753662,-1.1060019731521606,0.0,1.0,0.0,0.0
test,-1.4843096733093262,-1.6365433931350708,-1.5755279064178467,-1.3886988162994385,0.0,0.0,1.0,0.0
test,3.3540093898773193,-4.987258434295654,-1.6875016689300537,-1.0221911668777466,0.0,0.0,0.0,1.0
test,0.6552442908287048,-1.6257456541061401,-1.4599770307540894,0.13165833055973053,1.0,0.0,0.0,0.0
test,1.9369845390319824,-0.686766505241394,-0.8662916421890259,-0.34381186962127686,0.0,1.0,0.0,0.0
