split,feature_0,class_0,class_1,class_2,class_3,class_4
train,1.0317364931106567,1.0,0.0,0.0,0.0,0.0
train,2.031736373901367,0.0,1.0,0.0,0.0,0.0
train,3.031736373901367,0.0,0.0,1.0,0.0,0.0
train,4.031736373901367,0.0,0.0,0.0,1.0,0.0
train,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
train,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
train,2.031736373901367,0.0,1.0,0.0,0.0,0.0
train,3.031736373901367,0.0,0.0,1.0,0.0,0.0
train,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
train,5.031736373901367,0.0,0.0,0.0,0.0,1.0
train,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
train,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
train,3.031736373901367,0.0,0.0,1.0,0.0,0.0
train,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
train,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
train,1.0317364931106567,1.0,0.0,0.0,0.0,0.0
train,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
train,3.031736373901367,0.0,0.0,1.0,0.0,0.0
train,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
train,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
train,1.0317364931106567,1.0,0.0,0.0,0.0,0.0
train,2.031736373901367,0.0,1.0,0.0,0.0,0.0
train,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
train,4.031736373901367,0.0,0.0,0.0,1.0,0.0
train,5.031736373901367,0.0,0.0,0.0,0.0,1.0
val,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
val,2.031736373901367,0.0,1.0,0.0,0.0,0.0
val,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
val,4.031736373901367,0.0,0.0,0.0,1.0,0.0
val,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
val,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
val,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
val,3.031736373901367,0.0,0.0,1.0,0.0,0.0
val,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
val,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
val,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
val,2.031736373901367,0.0,1.0,0.0,0.0,0.0
val,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
val,4.031736373901367,0.0,0.0,0.0,1.0,0.0
val,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
val,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
val,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
val,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
val,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
val,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
val,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
val,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
val,3.031736373901367,0.0,0.0,1.0,0.0,0.0
val,4.031736373901367,0.0,0.0,0.0,1.0,0.0
val,5.031736373901367,0.0,0.0,0.0,0.0,1.0
test,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
test,2.031736373901367,0.0,1.0,0.0,0.0,0.0
test,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
test,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
test,5.031736373901367,0.0,0.0,0.0,0.0,1.0
test,1.0317364931106567,1.0,0.0,0.0,0.0,0.0
test,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
test,3.031736373901367,0.0,0.0,1.0,0.0,0.0
test,4.031736373901367,0.0,0.0,0.0,1.0,0.0
test,5.031736373901367,0.0,0.0,0.0,0.0,1.0
test,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
test,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
test,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
test,4.031736373901367,0.0,0.0,0.0,1.0,0.0
test,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
test,1.0317364931106567,1.0,0.0,0.0,0.0,0.0
test,2.031736373901367,0.0,1.0,0.0,0.0,0.0
test,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
test,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
test,5.031736373901367,0.0,0.0,0.0,0.0,1.0
test,1.0317364931106567,1.0,0.0,0.0,0.0,0.0
test,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
test,3.031736373901367,0.0,0.0,1.0,0.0,0.0
test,4.031736373901367,0.0,0.0,0.0,1.0,0.0
test,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
test,1.0317364931106567,1.0,0.0,0.0,0.0,0.0
test,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
test,3.031736373901367,0.0,0.0,1.0,0.0,0.0
test,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
test,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
test,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
test,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
test,3.031736373901367,0.0,0.0,1.0,0.0,0.0
test,4.031736373901367,0.0,0.0,0.0,1.0,0.0
test,5.031736373901367,0.0,0.0,0.0,0.0,1.0
test,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
test,-1.9682635068893433,0.0,1.0,0.0,0.0,0.0
test,3.031736373901367,0.0,0.0,1.0,0.0,0.0
test,4.031736373901367,0.0,0.0,0.0,1.0,0.0
test,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
test,1.0317364931106567,1.0,0.0,0.0,0.0,0.0
test,2.031736373901367,0.0,1.0,0.0,0.0,0.0
test,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
test,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
test,5.031736373901367,0.0,0.0,0.0,0.0,1.0
test,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
test,2.031736373901367,0.0,1.0,0.0,0.0,0.0
test,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
test,4.031736373901367,0.0,0.0,0.0,1.0,0.0
test,-4.968263626098633,0.0,0.0,0.0,0.0,1.0
test,1.0317364931106567,1.0,0.0,0.0,0.0,0.0
test,2.031736373901367,0.0,1.0,0.0,0.0,0.0
test,-2.968263626098633,0.0,0.0,1.0,0.0,0.0
test,-3.968263626098633,0.0,0.0,0.0,1.0,0.0
test,5.031736373901367,0.0,0.0,0.0,0.0,1.0
test,-0.9682635068893433,1.0,0.0,0.0,0.0,0.0
test,2.031736373901367,0.0,1.0,0.0,0.0,0.0
test,3.031736373901367,0.0,0.0,1.0,0.0,0.0
