split,feature_0,feature_1,feature_2,feature_3,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,1.0474295616149902,-0.3455190658569336,-1.2892675399780273,-0.5921831727027893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.527202606201172,0.39350199699401855,-2.947910785675049,1.1154897212982178,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.842252492904663,1.256612777709961,0.6298558712005615,0.6506587862968445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.8310688138008118,-1.1886998414993286,-4.3155412673950195,0.9207992553710938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,5.065536022186279,-2.074228286743164,-4.664982795715332,0.07757329940795898,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.983652114868164,3.7121098041534424,1.2896987199783325,3.296363115310669,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.8709354400634766,2.4603686332702637,1.2525497674942017,5.54119873046875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-2.730311155319214,5.463262557983398,-1.1641484498977661,3.77659273147583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,4.89697790145874,6.105751037597656,-7.680603981018066,-0.5079229474067688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.446144461631775,0.45102459192276,-0.9945639371871948,-0.7570791840553284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.2391704320907593,-1.5235646963119507,-1.8340059518814087,0.7673146724700928,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.8141777515411377,-0.5913639068603516,-0.17596356570720673,-2.3872830867767334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.980505108833313,-1.9747405052185059,1.6217693090438843,-0.22965455055236816,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,5.05061674118042,-0.08591999858617783,-4.282891750335693,2.4552478790283203,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,1.01492440700531,3.038079023361206,-6.341653823852539,-2.7080070972442627,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,3.728074550628662,-5.06876802444458,-5.882976531982422,-0.9038907289505005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.16182242333889008,-6.340333938598633,1.1287906169891357,-3.5737838745117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,7.310507297515869,2.8045172691345215,4.301721572875977,-2.6000866889953613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.0218943357467651,0.5138988494873047,-1.2341822385787964,-0.6348153948783875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.9040078520774841,-1.5723391771316528,-1.106817603111267,-0.2348359227180481,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.3433258533477783,1.6838467121124268,0.11259820312261581,1.4329737424850464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.8281176686286926,1.3082702159881592,-2.215471029281616,-3.0802996158599854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,5.409480571746826,2.560279607772827,-0.19935350120067596,-1.9273691177368164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-1.6275227069854736,5.080448150634766,-1.5526880025863647,-1.0872951745986938,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.20055164396762848,-2.0401053428649902,4.05103874206543,2.6609749794006348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,7.5617475509643555,0.8942165970802307,2.4085965156555176,3.1762640476226807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,2.3795793056488037,5.398505210876465,-4.019503116607666,6.694036483764648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.5631908178329468,0.938404381275177,-2.1192405223846436,0.2611052095890045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.427746534347534,0.11478792876005173,-2.305205821990967,-1.0249055624008179,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.9963465929031372,-1.4758073091506958,-0.048475176095962524,1.5003529787063599,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.01671333983540535,0.48859381675720215,1.4626542329788208,-1.8939985036849976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.9188405275344849,-1.730035662651062,-4.336048126220703,1.1211705207824707,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,6.243261814117432,2.703315019607544,1.0111888647079468,0.8032076954841614,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,3.633519172668457,-5.949283123016357,-2.5926878452301025,-2.913036584854126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
