split,feature_0,feature_1,feature_2,feature_3,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,0.6085585355758667,-0.6033234596252441,-0.5662282705307007,0.5182476043701172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.348024606704712,-1.3581457138061523,-2.4290401935577393,1.1960142850875854,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.2998790740966797,-3.3581502437591553,-0.3712417483329773,0.1325361132621765,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.53618049621582,0.09933093935251236,-0.874950110912323,-0.29638439416885376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.001462042098864913,-5.744027614593506,0.7751287221908569,1.242496132850647,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.0277007818222046,-0.020256422460079193,-6.1147918701171875,-2.1456522941589355,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.897881031036377,-5.069277286529541,2.3942317962646484,1.1888530254364014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.3107740879058838,3.0679893493652344,4.536230564117432,-3.2395386695861816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,4.886320114135742,5.312471866607666,1.956175446510315,-3.5084807872772217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,4.79390811920166,-2.5785510540008545,6.358560562133789,-5.418349266052246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.25974702835083,-1.4191511869430542,-1.2161719799041748,0.7993736863136292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.03634340688586235,-2.010904550552368,0.015147333964705467,-1.4049148559570312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.8867783546447754,-1.3095062971115112,-3.092639923095703,0.2643558084964752,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
