split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1
train,-0.5452032089233398,-0.27834615111351013,0.3922441303730011,-0.658810555934906,0.47812730073928833,1.0,0.0
train,-0.17416122555732727,0.5544318556785583,-0.4096434712409973,1.1658967733383179,0.36774155497550964,0.0,1.0
train,-1.1831563711166382,-0.049812037497758865,-0.924169659614563,-1.286108374595642,0.9938943982124329,1.0,0.0
train,-1.34027099609375,-0.37659183144569397,-1.2866290807724,-0.6775691509246826,2.443237066268921,0.0,1.0
train,-1.718694806098938,0.6718977689743042,-0.5041660666465759,-0.5141142010688782,0.7991623878479004,1.0,0.0
train,-1.1940200328826904,1.7752883434295654,-0.3402259647846222,-1.7993481159210205,0.7327584624290466,0.0,1.0
train,-0.15527059137821198,0.010511633940041065,-0.14155186712741852,-0.8380159735679626,1.4779647588729858,1.0,0.0
train,-0.12995900213718414,-0.5293672680854797,0.11181186139583588,-2.238307476043701,0.5647023320198059,0.0,1.0
train,-1.3626130819320679,0.8650258183479309,-0.31600385904312134,-0.9166800379753113,1.3301321268081665,1.0,0.0
train,-1.8984487056732178,0.13417010009288788,1.1547632217407227,-1.4592818021774292,0.8368287086486816,0.0,1.0
val,-0.5497786402702332,0.8011751770973206,-0.3165554106235504,0.1281348019838333,0.8017280101776123,1.0,0.0
val,-0.6922309994697571,-0.8911103010177612,-0.32440754771232605,0.9660900235176086,0.3340987265110016,0.0,1.0
val,-1.0344514846801758,-0.3152908384799957,-0.3260875344276428,-0.8977597951889038,0.07698743045330048,1.0,0.0
val,-1.9588043689727783,1.6341482400894165,0.11458862572908401,0.12348658591508865,0.9944861531257629,0.0,1.0
val,-1.316434621810913,0.5778478980064392,-0.7758535146713257,-1.283630132675171,0.8569763898849487,1.0,0.0
val,-1.8099125623703003,0.3176107406616211,-1.9454787969589233,-1.2314735651016235,1.1437962055206299,0.0,1.0
val,-1.0844686031341553,-0.38380667567253113,-0.2862587571144104,-1.3778635263442993,0.7527157068252563,1.0,0.0
val,0.5371118187904358,0.5536117553710938,-0.8414971232414246,0.5259241461753845,0.25178414583206177,0.0,1.0
val,-1.0052238702774048,-0.1253870725631714,-0.04414112865924835,0.13079911470413208,0.37411069869995117,1.0,0.0
val,-1.441882610321045,1.3474031686782837,-0.4444868266582489,-2.1402671337127686,0.7683292627334595,0.0,1.0
test,-1.3534396886825562,0.9878955483436584,-0.39546725153923035,-0.7021207809448242,1.2251754999160767,1.0,0.0
test,-1.6698358058929443,1.0830142498016357,-0.7088299989700317,-0.4378054440021515,-0.6876427531242371,0.0,1.0
test,-0.551813542842865,-0.388158917427063,0.0033192900009453297,0.026833754032850266,0.6740785837173462,1.0,0.0
test,-1.1007709503173828,1.211733102798462,-1.367708444595337,-1.966494083404541,0.748711884021759,0.0,1.0
test,-1.3650821447372437,-0.11430366337299347,0.0023313802666962147,0.05633204057812691,1.1551072597503662,1.0,0.0
test,-0.1490374207496643,-0.5716740489006042,-1.167459487915039,0.030881397426128387,2.191809892654419,0.0,1.0
test,-1.5225516557693481,0.0879770815372467,0.10104219615459442,-0.5434690713882446,0.26284730434417725,1.0,0.0
test,-1.036197304725647,1.6255637407302856,-0.9606597423553467,-0.8750260472297668,-0.3572309613227844,0.0,1.0
test,-0.43528929352760315,0.34030139446258545,-0.5427044630050659,0.10952232033014297,0.3754706382751465,1.0,0.0
test,-0.3880053758621216,0.7926813364028931,-0.8343905806541443,0.7807389497756958,1.9740294218063354,0.0,1.0
test,-1.117648959159851,-0.17800000309944153,0.33623144030570984,-0.1883842647075653,1.2689012289047241,1.0,0.0
test,-1.929868459701538,-0.2713254392147064,0.9689634442329407,-0.015738196671009064,0.09266258031129837,0.0,1.0
test,-0.8547349572181702,0.15338602662086487,-0.36837732791900635,-0.17727281153202057,1.7593613862991333,1.0,0.0
