split,feature_0,class_0,class_1,class_2,class_3,class_4,class_5
train,-0.8234725594520569,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.823472499847412,0.0,1.0,0.0,0.0,0.0,0.0
train,3.176527500152588,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.823472499847412,0.0,0.0,0.0,1.0,0.0,0.0
train,5.176527500152588,0.0,0.0,0.0,0.0,1.0,0.0
train,6.176527500152588,0.0,0.0,0.0,0.0,0.0,1.0
train,1.176527500152588,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.823472499847412,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.823472499847412,0.0,0.0,1.0,0.0,0.0,0.0
train,4.176527500152588,0.0,0.0,0.0,1.0,0.0,0.0
train,5.176527500152588,0.0,0.0,0.0,0.0,1.0,0.0
train,6.176527500152588,0.0,0.0,0.0,0.0,0.0,1.0
train,1.176527500152588,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.823472499847412,0.0,1.0,0.0,0.0,0.0,0.0
train,3.176527500152588,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.823472499847412,0.0,0.0,0.0,1.0,0.0,0.0
train,-4.823472499847412,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.823472499847412,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.8234725594520569,1.0,0.0,0.0,0.0,0.0,0.0
train,2.176527500152588,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.823472499847412,0.0,0.0,1.0,0.0,0.0,0.0
train,4.176527500152588,0.0,0.0,0.0,1.0,0.0,0.0
train,-4.823472499847412,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.823472499847412,0.0,0.0,0.0,0.0,0.0,1.0
train,1.176527500152588,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.823472499847412,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.823472499847412,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.823472499847412,0.0,0.0,0.0,1.0,0.0,0.0
train,-4.823472499847412,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.823472499847412,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.8234725594520569,1.0,0.0,0.0,0.0,0.0,0.0
val,2.176527500152588,0.0,1.0,0.0,0.0,0.0,0.0
val,3.176527500152588,0.0,0.0,1.0,0.0,0.0,0.0
val,-3.823472499847412,0.0,0.0,0.0,1.0,0.0,0.0
val,-4.823472499847412,0.0,0.0,0.0,0.0,1.0,0.0
val,6.176527500152588,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.8234725594520569,1.0,0.0,0.0,0.0,0.0,0.0
val,2.176527500152588,0.0,1.0,0.0,0.0,0.0,0.0
val,-2.823472499847412,0.0,0.0,1.0,0.0,0.0,0.0
val,-3.823472499847412,0.0,0.0,0.0,1.0,0.0,0.0
val,-4.823472499847412,0.0,0.0,0.0,0.0,1.0,0.0
val,6.176527500152588,0.0,0.0,0.0,0.0,0.0,1.0
val,1.176527500152588,1.0,0.0,0.0,0.0,0.0,0.0
val,2.176527500152588,0.0,1.0,0.0,0.0,0.0,0.0
val,3.176527500152588,0.0,0.0,1.0,0.0,0.0,0.0
val,4.176527500152588,0.0,0.0,0.0,1.0,0.0,0.0
val,-4.823472499847412,0.0,0.0,0.0,0.0,1.0,0.0
val,6.176527500152588,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.8234725594520569,1.0,0.0,0.0,0.0,0.0,0.0
val,-1.823472499847412,0.0,1.0,0.0,0.0,0.0,0.0
val,-2.823472499847412,0.0,0.0,1.0,0.0,0.0,0.0
val,-3.823472499847412,0.0,0.0,0.0,1.0,0.0,0.0
val,5.176527500152588,0.0,0.0,0.0,0.0,1.0,0.0
val,-5.823472499847412,0.0,0.0,0.0,0.0,0.0,1.0
val,1.176527500152588,1.0,0.0,0.0,0.0,0.0,0.0
val,2.176527500152588,0.0,1.0,0.0,0.0,0.0,0.0
val,3.176527500152588,0.0,0.0,1.0,0.0,0.0,0.0
val,4.176527500152588,0.0,0.0,0.0,1.0,0.0,0.0
val,-4.823472499847412,0.0,0.0,0.0,0.0,1.0,0.0
val,-5.823472499847412,0.0,0.0,0.0,0.0,0.0,1.0
test,1.176527500152588,1.0,0.0,0.0,0.0,0.0,0.0
test,2.176527500152588,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.823472499847412,0.0,0.0,1.0,0.0,0.0,0.0
test,4.176527500152588,0.0,0.0,0.0,1.0,0.0,0.0
test,-4.823472499847412,0.0,0.0,0.0,0.0,1.0,0.0
test,-5.823472499847412,0.0,0.0,0.0,0.0,0.0,1.0
test,1.176527500152588,1.0,0.0,0.0,0.0,0.0,0.0
test,-1.823472499847412,0.0,1.0,0.0,0.0,0.0,0.0
test,3.176527500152588,0.0,0.0,1.0,0.0,0.0,0.0
test,4.176527500152588,0.0,0.0,0.0,1.0,0.0,0.0
test,5.176527500152588,0.0,0.0,0.0,0.0,1.0,0.0
test,6.176527500152588,0.0,0.0,0.0,0.0,0.0,1.0
test,1.176527500152588,1.0,0.0,0.0,0.0,0.0,0.0
test,2.176527500152588,0.0,1.0,0.0,0.0,0.0,0.0
test,-2.823472499847412,0.0,0.0,1.0,0.0,0.0,0.0
test,-3.823472499847412,0.0,0.0,0.0,1.0,0.0,0.0
test,5.176527500152588,0.0,0.0,0.0,0.0,1.0,0.0
test,6.176527500152588,0.0,0.0,0.0,0.0,0.0,1.0
