split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1,class_2,class_3,class_4,class_5,class_6
train,0.7104088068008423,1.7211002111434937,2.165459632873535,-0.004677141085267067,-2.538961410522461,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.6044151186943054,1.1163533926010132,0.7355231046676636,0.10578358918428421,-0.6733725666999817,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.9756458401679993,2.5192294120788574,3.129678726196289,0.24746359884738922,-3.2735369205474854,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.37319815158843994,-1.2598330974578857,-0.6146823167800903,1.7542810440063477,-1.736133337020874,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.9519461393356323,1.678472638130188,2.6018259525299072,2.7454137802124023,-5.695605754852295,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.33216726779937744,7.005470275878906,1.9144281148910522,1.9313033819198608,-2.1262588500976562,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,3.786343574523926,1.0101829767227173,5.224897384643555,-4.378321170806885,-4.5073089599609375,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.2759220600128174,1.997123122215271,1.118671178817749,0.25908252596855164,-2.0823721885681152,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.24665530025959015,1.3346290588378906,0.8802818059921265,0.9702832698822021,-0.5740892887115479,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.4305475652217865,2.3699429035186768,1.4427211284637451,-0.2636969983577728,0.712433397769928,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.8798490762710571,1.3160897493362427,2.4113986492156982,3.8493528366088867,-2.5942394733428955,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.09212252497673035,3.0851290225982666,3.342902421951294,-1.2391207218170166,-5.925018787384033,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.11453405767679214,6.702972888946533,-0.9736908674240112,0.19738033413887024,-2.062743663787842,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.5193988680839539,6.537293434143066,3.5329012870788574,3.937983751296997,-2.9431979656219482,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.108014702796936,1.4557982683181763,1.7813076972961426,-0.7533161044120789,-2.3178231716156006,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.9768744707107544,1.7138545513153076,0.43479815125465393,0.04163430258631706,-0.23189154267311096,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.019565382972359657,1.9440901279449463,-0.25243526697158813,-1.8657854795455933,-2.8810622692108154,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.36553090810775757,3.2469656467437744,2.2120656967163086,-3.1470439434051514,-2.6621861457824707,0.0,0.0,0.0,1.0,0.0,0.0,0.0
