split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,1.397562861442566,1.1599172353744507,0.6952100396156311,1.223488211631775,0.05973305553197861,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.3361901342868805,1.4492939710617065,-0.7139129638671875,0.44571810960769653,-0.7070607542991638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.2814875841140747,1.706183671951294,-1.0886421203613281,1.8244820833206177,-1.4364229440689087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.0827579498291016,-1.2302879095077515,1.078502893447876,2.3676981925964355,1.6773719787597656,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.0145126581192017,0.09535729885101318,4.761064529418945,-0.9747411012649536,-0.5387566089630127,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-1.5872983932495117,4.033496379852295,0.8219860196113586,-1.268686294555664,-4.229511260986328,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.5189573168754578,0.476834237575531,-0.6374152898788452,-5.578237056732178,-1.8013077974319458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,5.154480934143066,7.021571636199951,0.4292939603328705,-0.39211505651474,-3.1177356243133545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.533910751342773,3.613049030303955,-4.1762919425964355,3.2596516609191895,-4.94361686706543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.2401670515537262,0.34397605061531067,-0.007156427949666977,1.2031445503234863,-0.5192512273788452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.9550422430038452,-0.4979487359523773,0.510707437992096,0.9863133430480957,-1.87197744846344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.8613427877426147,-1.2007112503051758,-0.6474778652191162,1.8711191415786743,-0.8400166630744934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.8000744581222534,0.44355151057243347,-2.031557559967041,-1.3675997257232666,-2.403887987136841,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.6805554628372192,-0.1575556993484497,1.6598365306854248,-2.9452738761901855,1.3618545532226562,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.38781476020813,-2.3001649379730225,-3.207061290740967,3.5978925228118896,-3.234240770339966,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.21951855719089508,0.9830957651138306,-3.8187613487243652,-1.8212404251098633,3.9270100593566895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,3.798758029937744,-3.6323609352111816,5.259460926055908,-1.916344404220581,0.8126838207244873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,1.338005542755127,6.69364595413208,5.119641304016113,-3.600351095199585,-0.95438152551651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.4389342069625854,1.3431352376937866,0.8789663314819336,1.565888524055481,-0.3325246572494507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.9150593280792236,0.28530266880989075,0.528532862663269,-0.3825225234031677,-0.22269758582115173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.6646987199783325,-0.8258547186851501,-0.9293163418769836,-0.11565455049276352,-0.6758228540420532,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.9563555717468262,-1.7609193325042725,-0.821832537651062,2.883370876312256,-2.8343968391418457,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.250113010406494,-0.44931161403656006,-0.5533739328384399,4.056702136993408,-2.715102434158325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.9812950491905212,3.0473239421844482,1.5129915475845337,-2.795851230621338,2.927196979522705,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,4.785605430603027,2.8733227252960205,-2.6072311401367188,5.385135173797607,1.4545328617095947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-2.6672394275665283,2.4501819610595703,1.0554848909378052,7.447404861450195,-3.671100378036499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,8.597014427185059,-2.084731340408325,0.3442745506763458,1.248613953590393,-4.628403663635254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.4102035760879517,1.3620582818984985,0.734207034111023,0.9682996273040771,-0.15779845416545868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.872359037399292,1.227537751197815,-0.041362933814525604,1.2125580310821533,-0.4294784665107727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.2696536779403687,0.33660250902175903,-0.8864627480506897,-1.1849191188812256,-1.871138572692871,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
