split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,class_0,class_1,class_2,class_3,class_4,class_5
train,0.8770450949668884,-0.9509785175323486,-2.358278274536133,0.7854663729667664,-0.6200040578842163,1.1616555452346802,1.0,0.0,0.0,0.0,0.0,0.0
train,1.8802932500839233,-1.577584147453308,-2.1746387481689453,1.169570803642273,0.4777691960334778,-0.8730553388595581,0.0,1.0,0.0,0.0,0.0,0.0
train,1.8011436462402344,-0.8519732356071472,-1.6713440418243408,-1.7930783033370972,-0.6202670335769653,-1.4362841844558716,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.8530654907226562,-0.6477810740470886,-5.575823783874512,1.3308873176574707,-1.775382161140442,0.32295405864715576,0.0,0.0,0.0,1.0,0.0,0.0
train,4.893917560577393,-2.9395744800567627,-1.2647688388824463,-1.1818807125091553,-1.8527079820632935,1.2452393770217896,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.7036887407302856,-4.078386306762695,-2.9486868381500244,0.2132745087146759,4.064727783203125,2.1752407550811768,0.0,0.0,0.0,0.0,0.0,1.0
train,1.5256556272506714,-0.9787099957466125,-1.7293518781661987,0.759958028793335,-0.4749186933040619,0.29308149218559265,1.0,0.0,0.0,0.0,0.0,0.0
train,2.0758676528930664,-0.998181164264679,-2.3367159366607666,-0.9437623023986816,-0.4746963083744049,-0.7732065916061401,0.0,1.0,0.0,0.0,0.0,0.0
train,0.652339518070221,-1.5702812671661377,-0.15607163310050964,-0.2593293786048889,-2.085007905960083,0.8179599046707153,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.14347104728221893,-2.291672706604004,-1.6454250812530518,-0.9224108457565308,-2.9603941440582275,-1.8588647842407227,0.0,0.0,0.0,1.0,0.0,0.0
train,1.6113911867141724,1.9503253698349,-3.9510576725006104,2.435824155807495,1.9536828994750977,-1.4040549993515015,0.0,0.0,0.0,0.0,1.0,0.0
train,3.0138580799102783,3.3441390991210938,0.13441124558448792,-1.4352054595947266,0.8556828498840332,0.9610350728034973,0.0,0.0,0.0,0.0,0.0,1.0
train,1.8761110305786133,-1.020647406578064,-2.3047735691070557,0.7996509075164795,-0.6208313703536987,0.35167521238327026,1.0,0.0,0.0,0.0,0.0,0.0
train,1.2192097902297974,0.1439153403043747,-3.851522445678711,-0.06898640096187592,-1.0257607698440552,0.3679102063179016,0.0,1.0,0.0,0.0,0.0,0.0
train,2.988685369491577,0.11358056962490082,-3.5729007720947266,-1.1865077018737793,-0.5621916055679321,0.5145868062973022,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.6629727482795715,-2.6050450801849365,-3.5831072330474854,0.7597853541374207,-2.285325765609741,2.8033573627471924,0.0,0.0,0.0,1.0,0.0,0.0
train,2.8882696628570557,-1.1567412614822388,-4.495438098907471,0.562527060508728,-4.432435035705566,-0.9659416079521179,0.0,0.0,0.0,0.0,1.0,0.0
train,-1.1860378980636597,-0.15189747512340546,1.5505824089050293,4.007471084594727,-1.08783757686615,0.8069793581962585,0.0,0.0,0.0,0.0,0.0,1.0
train,0.9463172554969788,-1.0764617919921875,-2.3505048751831055,-0.11213960498571396,0.11737503111362457,-0.3440598249435425,1.0,0.0,0.0,0.0,0.0,0.0
train,0.03890976309776306,0.14475736021995544,-2.621703863143921,-0.22059746086597443,0.5467650294303894,-0.004679190926253796,0.0,1.0,0.0,0.0,0.0,0.0
train,0.5874022841453552,1.711751937866211,-2.1956303119659424,0.7998802661895752,-1.1886634826660156,0.09655867516994476,0.0,0.0,1.0,0.0,0.0,0.0
train,3.026085376739502,-0.48066332936286926,-3.068155288696289,-2.2692246437072754,1.2490248680114746,1.5009211301803589,0.0,0.0,0.0,1.0,0.0,0.0
train,2.76206374168396,-1.5507862567901611,-4.885024070739746,2.186997413635254,0.4901292026042938,-3.1114985942840576,0.0,0.0,0.0,0.0,1.0,0.0
train,-2.5842947959899902,-1.0370365381240845,-0.4189301133155823,-0.11539395898580551,3.8345983028411865,0.6151012778282166,0.0,0.0,0.0,0.0,0.0,1.0
train,1.6432745456695557,-0.7418684959411621,-2.0833396911621094,0.8322678804397583,-0.5471622347831726,0.5942179560661316,1.0,0.0,0.0,0.0,0.0,0.0
train,1.1419243812561035,-0.6941922903060913,-3.6900432109832764,-0.6364991068840027,-0.7975881695747375,1.426534652709961,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.7753288149833679,-2.2805466651916504,-1.228278636932373,-1.0542564392089844,-0.39760956168174744,1.2405544519424438,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.4265088140964508,-2.306584119796753,0.21486292779445648,1.6959924697875977,0.9658288359642029,1.4864026308059692,0.0,0.0,0.0,1.0,0.0,0.0
train,2.2713253498077393,-3.830979824066162,-5.361255645751953,2.794839859008789,0.8567702770233154,0.2517423629760742,0.0,0.0,0.0,0.0,1.0,0.0
train,4.913410663604736,-3.411590099334717,-1.5647419691085815,2.4170472621917725,2.7187659740448,-0.25553545355796814,0.0,0.0,0.0,0.0,0.0,1.0
val,1.3939884901046753,-1.3443862199783325,-3.07403564453125,-0.11089133471250534,-0.9426935315132141,0.3589506149291992,1.0,0.0,0.0,0.0,0.0,0.0
val,0.7286828756332397,-2.46627140045166,-3.043196678161621,1.026431679725647,-1.3344614505767822,1.0441367626190186,0.0,1.0,0.0,0.0,0.0,0.0
val,-0.28068575263023376,-2.9834933280944824,-2.1589109897613525,0.907483696937561,1.3724724054336548,0.4685176610946655,0.0,0.0,1.0,0.0,0.0,0.0
val,2.7061030864715576,-2.849851608276367,-1.960963249206543,2.6876189708709717,0.05199632793664932,-1.7266652584075928,0.0,0.0,0.0,1.0,0.0,0.0
val,-0.9329808950424194,2.5183253288269043,-3.4096105098724365,-0.9420276880264282,1.8309661149978638,0.7789879441261292,0.0,0.0,0.0,0.0,1.0,0.0
val,2.0958313941955566,-6.644591808319092,-2.8344643115997314,-1.2649441957473755,0.37052586674690247,1.186165690422058,0.0,0.0,0.0,0.0,0.0,1.0
val,0.30485838651657104,-0.9955424070358276,-2.2408909797668457,-0.20699279010295868,-0.13395565748214722,0.33650270104408264,1.0,0.0,0.0,0.0,0.0,0.0
val,0.5821142196655273,-0.5222189426422119,-4.002163410186768,1.0533692836761475,-1.266624927520752,0.29194217920303345,0.0,1.0,0.0,0.0,0.0,0.0
val,1.2258833646774292,0.29622456431388855,-3.8987538814544678,1.9207487106323242,0.6566793322563171,1.424744963645935,0.0,0.0,1.0,0.0,0.0,0.0
val,-0.6252982020378113,-4.314148426055908,-2.2608509063720703,1.1480509042739868,-1.9804093837738037,0.5256035923957825,0.0,0.0,0.0,1.0,0.0,0.0
val,0.6975586414337158,-2.676791191101074,-1.0553110837936401,3.5196614265441895,-3.205723524093628,2.0005621910095215,0.0,0.0,0.0,0.0,1.0,0.0
val,3.3720686435699463,-0.5623892545700073,-5.512949466705322,-0.35571548342704773,-3.800363063812256,3.3582236766815186,0.0,0.0,0.0,0.0,0.0,1.0
val,0.918196439743042,-1.9964622259140015,-2.1903882026672363,0.22338710725307465,-0.49456748366355896,0.6311600804328918,1.0,0.0,0.0,0.0,0.0,0.0
val,1.3459041118621826,-0.03891008347272873,-2.130882740020752,-1.1468487977981567,-0.5596227049827576,0.9152742028236389,0.0,1.0,0.0,0.0,0.0,0.0
val,1.0386356115341187,-2.100565195083618,-4.1933817863464355,0.6057551503181458,-0.12424291670322418,-1.904013752937317,0.0,0.0,1.0,0.0,0.0,0.0
val,2.671950578689575,-2.0357589721679688,-1.675936222076416,0.15837451815605164,1.1537001132965088,-2.711275577545166,0.0,0.0,0.0,1.0,0.0,0.0
val,0.042369820177555084,-1.2712634801864624,-2.3911325931549072,-0.6238000988960266,1.261041522026062,4.790507793426514,0.0,0.0,0.0,0.0,1.0,0.0
val,3.2027502059936523,-0.5597028732299805,-4.041431427001953,4.639327049255371,2.4116742610931396,-1.0487161874771118,0.0,0.0,0.0,0.0,0.0,1.0
