split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class_0,class_1,class_2
train,1.0084025859832764,1.3197219371795654,1.2257119417190552,-1.7024198770523071,-0.6402885317802429,-0.36197733879089355,-2.3965113162994385,1.0,0.0,0.0
train,0.6683815121650696,1.3134418725967407,1.6424611806869507,-1.9943604469299316,-0.5947295427322388,-1.0546393394470215,-3.8226277828216553,0.0,1.0,0.0
train,1.9252479076385498,2.1686289310455322,1.6934115886688232,-1.0474177598953247,-1.736981987953186,-2.232421875,-0.6586640477180481,0.0,0.0,1.0
train,0.45655548572540283,0.5943046808242798,1.3936761617660522,-1.3016890287399292,-0.5625388622283936,0.09811009466648102,-1.8715265989303589,1.0,0.0,0.0
train,0.23103810846805573,1.8142974376678467,2.0908432006835938,-1.3976774215698242,-2.2178921699523926,-0.5572726726531982,-3.3613250255584717,0.0,1.0,0.0
train,-0.3793724775314331,0.8682381510734558,0.7415804862976074,-2.6887853145599365,-3.514054536819458,-1.1061732769012451,-1.7834231853485107,0.0,0.0,1.0
train,0.23873351514339447,1.0674550533294678,1.4595903158187866,-0.8617665767669678,-1.7072539329528809,-0.20994651317596436,-2.5303945541381836,1.0,0.0,0.0
train,1.6801186800003052,-0.02614855021238327,2.0644872188568115,-1.7950035333633423,-1.6337974071502686,-0.033744361251592636,-2.8324146270751953,0.0,1.0,0.0
train,-0.7878523468971252,-0.2085692435503006,0.32214125990867615,0.5867026448249817,-0.48000234365463257,-0.8475146889686584,-1.362845778465271,0.0,0.0,1.0
train,0.2526226341724396,0.1425105631351471,1.370432734489441,-1.5810728073120117,-1.3920385837554932,-0.13465335965156555,-2.23873233795166,1.0,0.0,0.0
train,-0.4869689345359802,1.6066597700119019,1.0986592769622803,-2.3431951999664307,-0.5303674340248108,0.10733558237552643,-2.934157371520996,0.0,1.0,0.0
train,0.1211148053407669,2.241886854171753,2.345108985900879,0.28720903396606445,0.2923847436904907,-1.6365100145339966,-1.4175785779953003,0.0,0.0,1.0
train,0.7270412445068359,0.5323640704154968,1.1189038753509521,-1.2305270433425903,-0.4130336344242096,-0.9249579310417175,-1.9105242490768433,1.0,0.0,0.0
train,0.8097931742668152,1.9546045064926147,1.3249214887619019,-0.8453307747840881,-2.4421677589416504,-1.495219349861145,-2.1450397968292236,0.0,1.0,0.0
train,-1.4986591339111328,1.1925320625305176,2.6064047813415527,-1.338347315788269,-1.9071321487426758,0.6905478239059448,-0.9265651702880859,0.0,0.0,1.0
val,0.3895740211009979,0.17094972729682922,1.4159990549087524,-1.4082720279693604,-0.8951172232627869,-0.386124849319458,-1.5420619249343872,1.0,0.0,0.0
val,1.408691167831421,0.6815743446350098,1.822698950767517,-0.9979813694953918,-0.7283802628517151,0.9671538472175598,-2.4734559059143066,0.0,1.0,0.0
val,2.193350076675415,1.9503121376037598,1.9322919845581055,-0.5651191473007202,0.05977215617895126,0.10361317545175552,-0.6618698835372925,0.0,0.0,1.0
val,0.5919652581214905,1.0674865245819092,1.4572423696517944,-0.4158285856246948,-1.3061463832855225,-0.6459271907806396,-2.2361762523651123,1.0,0.0,0.0
val,1.188445806503296,0.5408245921134949,0.864687442779541,-1.488357663154602,-0.34463271498680115,-0.28862881660461426,-0.6187838315963745,0.0,1.0,0.0
val,0.07864704728126526,0.6994060277938843,1.7146310806274414,-2.866382598876953,-1.6759543418884277,-2.499051332473755,-3.7492198944091797,0.0,0.0,1.0
val,0.2979373633861542,1.455682396888733,0.7400264143943787,-1.4738353490829468,-1.453585147857666,-0.5801248550415039,-2.3439996242523193,1.0,0.0,0.0
val,2.12550687789917,0.9294431805610657,1.6828066110610962,-0.7659690380096436,-1.3630837202072144,-0.07987016439437866,-2.819895029067993,0.0,1.0,0.0
val,-0.08080267161130905,-0.16399601101875305,0.9423317313194275,1.0796151161193848,-2.002288579940796,-1.303301453590393,-2.300818920135498,0.0,0.0,1.0
val,0.24015623331069946,0.3701950013637543,1.3635785579681396,-1.0810637474060059,-1.7229812145233154,-0.797232985496521,-1.70095694065094,1.0,0.0,0.0
val,1.0339993238449097,0.23305310308933258,0.7191628217697144,-1.4623260498046875,-2.7430105209350586,-0.5229917168617249,-1.880998969078064,0.0,1.0,0.0
val,0.5828025341033936,1.6539552211761475,-0.3162922263145447,-1.4269436597824097,0.9645630717277527,-1.501465916633606,-2.471425771713257,0.0,0.0,1.0
val,0.28540077805519104,0.7821348905563354,1.466015338897705,-0.6732227802276611,-1.7956206798553467,-0.4777018427848816,-2.1150963306427,1.0,0.0,0.0
val,1.1613266468048096,1.4493836164474487,1.1370927095413208,-0.37832707166671753,-0.08292446285486221,-1.1904417276382446,-1.2783796787261963,0.0,1.0,0.0
val,-0.4073326587677002,2.8997232913970947,1.3917516469955444,-1.1256427764892578,-1.7891994714736938,0.57175213098526,-3.6646006107330322,0.0,0.0,1.0
test,0.7382419109344482,0.8939113616943359,1.429445743560791,-1.2986119985580444,-1.9695136547088623,-0.8969432711601257,-2.4876389503479004,1.0,0.0,0.0
test,-0.5085460543632507,1.2352521419525146,1.3584433794021606,-0.6818705797195435,-0.702745795249939,-1.9724771976470947,-2.776846408843994,0.0,1.0,0.0
test,-0.4358444809913635,1.981144905090332,3.312556266784668,0.044935792684555054,-1.5635405778884888,-0.18205071985721588,-3.2201764583587646,0.0,0.0,1.0
test,0.09518124163150787,1.4222456216812134,1.7711725234985352,-1.6052193641662598,-1.6898972988128662,-0.5433581471443176,-2.479951858520508,1.0,0.0,0.0
test,0.9711461067199707,2.362159013748169,0.9689426422119141,-0.8773761987686157,-0.9777159690856934,0.24778121709823608,-1.491302251815796,0.0,1.0,0.0
test,0.7425681352615356,-0.9644685387611389,3.316567897796631,-1.5125298500061035,-1.699495792388916,-0.7707019448280334,-3.37262225151062,0.0,0.0,1.0
test,0.8419519066810608,0.5315316319465637,1.107532024383545,-1.3730027675628662,-1.0793477296829224,-0.10804516822099686,-2.7010481357574463,1.0,0.0,0.0
test,0.142576202750206,1.6848735809326172,0.7068036794662476,-0.8805233240127563,0.08414865285158157,-0.2631566822528839,-1.1721680164337158,0.0,1.0,0.0
