split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class_0,class_1,class_2,class_3,class_4
train,-1.41399085521698,-1.318122148513794,0.6422483921051025,0.011193109676241875,-0.5290374755859375,1.3359042406082153,-1.9334893226623535,1.0,0.0,0.0,0.0,0.0
train,-1.963320255279541,0.2688436210155487,0.24576346576213837,1.2888965606689453,0.8001432418823242,1.4905400276184082,-1.793418526649475,0.0,1.0,0.0,0.0,0.0
train,-0.931032121181488,0.5595768690109253,1.1221421957015991,-0.49985039234161377,1.5671827793121338,1.7137459516525269,-2.7316064834594727,0.0,0.0,1.0,0.0,0.0
train,1.0865650177001953,-0.4266098439693451,-0.7041827440261841,0.6361564993858337,2.7721176147460938,1.3121352195739746,-0.9530549645423889,0.0,0.0,0.0,1.0,0.0
train,-0.27452796697616577,-1.5856496095657349,2.0991151332855225,3.5267651081085205,-0.2169639766216278,2.6305344104766846,0.8014572262763977,0.0,0.0,0.0,0.0,1.0
train,-1.5756968259811401,-1.464442491531372,-0.414770245552063,0.16065895557403564,-0.5483694672584534,1.778494954109192,-1.1194250583648682,1.0,0.0,0.0,0.0,0.0
train,-2.515193462371826,-0.4071239233016968,0.08124905824661255,0.1572476029396057,-0.9698997139930725,1.086734652519226,-0.5081538558006287,0.0,1.0,0.0,0.0,0.0
train,-3.8641703128814697,-0.000789256242569536,0.19721101224422455,0.488460898399353,-1.0259283781051636,0.6681753396987915,-2.3766801357269287,0.0,0.0,1.0,0.0,0.0
train,-0.16250473260879517,0.6583613753318787,-2.626894474029541,-0.6091649532318115,-1.0745517015457153,3.229780673980713,-1.3718552589416504,0.0,0.0,0.0,1.0,0.0
train,-0.799615204334259,-3.8306703567504883,-3.0911977291107178,0.7092851996421814,-1.7436144351959229,1.1884937286376953,-4.029152870178223,0.0,0.0,0.0,0.0,1.0
train,-1.0692859888076782,-1.2734519243240356,0.23840680718421936,1.0910148620605469,0.02270006760954857,1.2078781127929688,-1.673387885093689,1.0,0.0,0.0,0.0,0.0
train,-1.9887373447418213,-1.7776570320129395,0.7840999960899353,0.9170434474945068,1.157784342765808,1.347417950630188,-1.141681432723999,0.0,1.0,0.0,0.0,0.0
train,-1.1103696823120117,-1.80268394947052,-1.725185513496399,-0.5050122737884521,-1.1274068355560303,3.299891710281372,-1.0283490419387817,0.0,0.0,1.0,0.0,0.0
