split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7
train,1.5447838306427002,2.2453391551971436,-0.17173978686332703,-0.020535163581371307,-1.565269947052002,0.7879481315612793,-1.4058653116226196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.6438510417938232,1.383191704750061,1.0077674388885498,0.46208813786506653,-1.6819522380828857,-0.6337502002716064,-2.404045343399048,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.96742582321167,3.0416462421417236,0.26146095991134644,1.0045909881591797,-1.535293698310852,-1.9767913818359375,-2.349323272705078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.530122995376587,1.1503009796142578,2.656492233276367,2.471985101699829,-0.9841940999031067,0.7457114458084106,-0.09499265998601913,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,5.3053107261657715,4.064472675323486,-0.1456809788942337,-1.6299325227737427,0.27457064390182495,0.4680050015449524,-0.6567175388336182,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.1248672008514404,0.8334205746650696,-1.57404363155365,0.07143811136484146,2.159626007080078,-3.7243804931640625,1.4192708730697632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,3.8590571880340576,3.8293800354003906,3.315213680267334,-0.9425461888313293,-5.398265361785889,-0.7252940535545349,-4.17080020904541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,3.5058021545410156,4.8357415199279785,-3.7956318855285645,1.1480953693389893,-1.4353840351104736,4.140726566314697,-5.311210632324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.3359869718551636,1.01107919216156,0.26596057415008545,-0.35982346534729004,-1.5217612981796265,-0.38214802742004395,-1.1670305728912354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.7190310955047607,2.648080587387085,-0.5544342398643494,0.5027343034744263,-0.2696950137615204,0.26595836877822876,0.1172604039311409,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.8149209022521973,1.0992060899734497,-0.7256923913955688,-0.043460942804813385,-3.7487730979919434,0.11666201055049896,-1.0581872463226318,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.1184673309326172,0.6056788563728333,-0.16605672240257263,-2.646939992904663,-0.6436205506324768,2.2047533988952637,0.6883198022842407,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
