split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,0.20093928277492523,-0.2553032338619232,0.0591697096824646,-0.4250544309616089,-1.301604151725769,-0.5765981674194336,-0.4351240396499634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.15175220370292664,-0.9181670546531677,-0.4727044105529785,-0.011315441690385342,-1.236293911933899,0.18535074591636658,0.8135755658149719,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.2376898527145386,0.34031277894973755,1.460837483406067,1.5751231908798218,-1.7689985036849976,0.7687839865684509,-0.8844636678695679,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.1962900161743164,1.3677245378494263,-1.2572704553604126,0.9951914548873901,-0.8695396780967712,-1.6975990533828735,2.534146785736084,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.916026771068573,0.12307749688625336,-1.8529471158981323,-1.4283760786056519,-3.944826364517212,-1.1955753564834595,3.4958105087280273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.8507703542709351,0.07303661108016968,0.42318466305732727,1.0522197484970093,3.7575113773345947,1.5435186624526978,-0.44058653712272644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,1.4432463645935059,-4.14052677154541,-0.571776807308197,-4.6512250900268555,-2.64274525642395,0.2488817572593689,-2.3256263732910156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.371107578277588,4.989247798919678,2.3147506713867188,3.909797191619873,0.9025320410728455,-2.077897548675537,-2.761276960372925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.6137856841087341,1.100003957748413,-0.015352144837379456,6.886191368103027,2.4829819202423096,-4.007391452789307,0.08523167669773102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-3.5536255836486816,-4.908627033233643,2.7752270698547363,-3.43925404548645,-0.04498159512877464,1.4858051538467407,6.09361457824707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.6721704602241516,0.8869235515594482,-0.16338905692100525,0.16035525500774384,-1.717526912689209,-0.14677658677101135,-0.05897534638643265,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.3971272706985474,0.20878008008003235,-0.5915442109107971,0.9266536235809326,-1.45740807056427,-1.8462848663330078,0.0697937160730362,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.9081717729568481,-1.7715147733688354,-0.35271328687667847,0.2238927185535431,-2.1015560626983643,-0.3690340518951416,-1.5611480474472046,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.914467453956604,0.1121736541390419,-0.29950499534606934,-1.6373385190963745,1.3049694299697876,-2.389871120452881,-1.6427371501922607,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.6035141944885254,-0.5394388437271118,1.4331483840942383,-0.39888736605644226,3.1578102111816406,0.07000289112329483,-0.9128043055534363,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.8565326929092407,-2.565502166748047,1.4643359184265137,3.3124327659606934,0.17112962901592255,-0.8882597088813782,-2.996507167816162,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.1408932209014893,6.414710521697998,-0.0244959257543087,0.09209197759628296,-1.8200830221176147,-1.3289839029312134,2.5588316917419434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-5.510097503662109,0.03065267950296402,-1.6335119009017944,-1.290531039237976,-1.0965850353240967,5.187448501586914,1.3744289875030518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
