split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,class_0,class_1,class_2,class_3,class_4,class_5
train,0.9844870567321777,-0.6768507957458496,0.2127588838338852,2.4882190227508545,1.2016440629959106,-0.665856659412384,-2.006484031677246,-0.5332035422325134,1.0,0.0,0.0,0.0,0.0,0.0
train,2.2210164070129395,-0.16335786879062653,-0.0020841595251113176,2.6274726390838623,0.7103734612464905,-1.124160647392273,-0.017677422612905502,-0.23291859030723572,0.0,1.0,0.0,0.0,0.0,0.0
train,2.3036341667175293,-1.6306464672088623,-1.4280773401260376,4.537041187286377,1.1897293329238892,-1.035404086112976,-2.5984394550323486,-0.41143837571144104,0.0,0.0,1.0,0.0,0.0,0.0
train,0.9428870677947998,0.39471757411956787,0.8626546263694763,4.488762855529785,-2.337804079055786,-1.4997962713241577,-1.0386078357696533,-0.5357120037078857,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.5157166719436646,0.2100544422864914,0.19102129340171814,1.509385108947754,3.349968671798706,-3.567063570022583,-0.4067392945289612,-0.1198405772447586,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.7718349099159241,2.4474680423736572,1.6176398992538452,0.8061560392379761,1.9222986698150635,-1.066645860671997,-2.078700542449951,-4.555464744567871,0.0,0.0,0.0,0.0,0.0,1.0
train,0.9569457173347473,-0.610744297504425,-0.009042497724294662,2.294492483139038,0.7098425030708313,-1.6650999784469604,-2.3720128536224365,-0.9579340219497681,1.0,0.0,0.0,0.0,0.0,0.0
train,2.0732262134552,-0.6059108972549438,0.632557213306427,2.053159236907959,0.3423630893230438,0.09134339541196823,-0.9901537895202637,-0.04817177355289459,0.0,1.0,0.0,0.0,0.0,0.0
train,1.138999581336975,-0.4410383701324463,0.40325409173965454,2.9262077808380127,2.7631475925445557,-0.03859792649745941,-0.4267311692237854,0.3353734314441681,0.0,0.0,1.0,0.0,0.0,0.0
train,4.328402519226074,0.6410632729530334,-0.8147230744361877,3.925628662109375,-0.5148389935493469,-2.1391353607177734,-0.9580262303352356,-0.33333268761634827,0.0,0.0,0.0,1.0,0.0,0.0
train,4.693565368652344,0.06907661259174347,-0.2070389688014984,0.6430553197860718,-0.7442622780799866,-1.6431465148925781,0.5728335380554199,0.8871684670448303,0.0,0.0,0.0,0.0,1.0,0.0
train,2.9324896335601807,-1.5660582780838013,1.9855693578720093,-0.3993992209434509,0.23831145465373993,0.43113717436790466,2.0797457695007324,-2.6161160469055176,0.0,0.0,0.0,0.0,0.0,1.0
train,1.2004051208496094,-0.04792305454611778,-0.3349311649799347,2.22902250289917,0.4778612554073334,-1.0471466779708862,-2.2259416580200195,-1.0591261386871338,1.0,0.0,0.0,0.0,0.0,0.0
train,2.6898036003112793,-1.6364226341247559,0.03241004794836044,2.3985650539398193,-0.21895259618759155,-0.4918367266654968,-1.5629148483276367,-0.6671632528305054,0.0,1.0,0.0,0.0,0.0,0.0
train,1.2393049001693726,-0.11205630749464035,1.2428656816482544,3.6537628173828125,-1.2161027193069458,-0.5873458385467529,-2.7531776428222656,-1.323794960975647,0.0,0.0,1.0,0.0,0.0,0.0
train,3.8028697967529297,-0.1130690798163414,-2.6274471282958984,1.9074088335037231,1.2775459289550781,-2.3905692100524902,-1.5566797256469727,-1.9802669286727905,0.0,0.0,0.0,1.0,0.0,0.0
train,4.074806213378906,0.5448966026306152,1.3902530670166016,0.4691581428050995,1.0489941835403442,-3.1004576683044434,-3.0942769050598145,-2.829714775085449,0.0,0.0,0.0,0.0,1.0,0.0
