split,feature_0,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,-0.7941205501556396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.2058794498443604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.2058794498443604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.7941205501556396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-4.794120788574219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,6.205879211425781,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-6.794120788574219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-7.794120788574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,9.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.7941205501556396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.2058794498443604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.2058794498443604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.7941205501556396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,5.205879211425781,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-5.794120788574219,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,7.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-7.794120788574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-8.794120788574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.2058794498443604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.2058794498443604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.2058794498443604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.205879211425781,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-4.794120788574219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,6.205879211425781,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-6.794120788574219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,8.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,9.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.2058794498443604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.2058794498443604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.7941205501556396,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.205879211425781,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-4.794120788574219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,6.205879211425781,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,7.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,8.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-8.794120788574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.7941205501556396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.2058794498443604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.7941205501556396,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.7941205501556396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,5.205879211425781,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-5.794120788574219,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,7.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,8.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-8.794120788574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,-0.7941205501556396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.7941205501556396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-2.7941205501556396,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,4.205879211425781,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,5.205879211425781,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,6.205879211425781,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,-6.794120788574219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,8.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,-8.794120788574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.2058794498443604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.7941205501556396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.2058794498443604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-3.7941205501556396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-4.794120788574219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-5.794120788574219,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,7.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
val,8.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
val,9.205879211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,1.2058794498443604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.7941205501556396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,3.2058794498443604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-3.7941205501556396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
