split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,class_0,class_1,class_2,class_3
train,1.0295997858047485,1.1509168148040771,0.11211468279361725,0.4153345227241516,-1.1817301511764526,0.6516685485839844,0.09275022149085999,-0.6480057835578918,0.06533489376306534,1.0,0.0,0.0,0.0
train,1.485710620880127,1.4592726230621338,0.5295700430870056,1.5102430582046509,-2.007718324661255,0.9613387584686279,1.621164321899414,-1.0692068338394165,-0.5846728682518005,0.0,1.0,0.0,0.0
train,-0.251648485660553,1.5249980688095093,-1.2342255115509033,0.8376166224479675,-1.9401594400405884,1.2755882740020752,2.482407569885254,-0.12281277030706406,-1.847951889038086,0.0,0.0,1.0,0.0
train,0.4830355644226074,2.068215847015381,-3.6116905212402344,1.3124418258666992,-0.9255906343460083,1.2267990112304688,-0.16474944353103638,0.8409623503684998,0.21166659891605377,0.0,0.0,0.0,1.0
train,0.5821365118026733,1.5377222299575806,-0.5716052651405334,0.441027969121933,-0.7526280879974365,0.5907647609710693,0.39069435000419617,-0.4736020565032959,-0.9044276475906372,1.0,0.0,0.0,0.0
train,0.125230073928833,1.8067600727081299,0.7288185358047485,0.7447207570075989,-2.476447582244873,-0.12431522458791733,-0.12017807364463806,-0.963014543056488,-0.27517184615135193,0.0,1.0,0.0,0.0
train,-0.3457604646682739,1.2876542806625366,0.24821168184280396,2.4709537029266357,-1.725620150566101,0.12421911209821701,1.4234488010406494,0.30562472343444824,-1.622266411781311,0.0,0.0,1.0,0.0
train,2.598155975341797,1.9443793296813965,-2.024420738220215,2.2368297576904297,-2.5501132011413574,-1.1125991344451904,-0.09478892385959625,-0.6319844722747803,1.2525486946105957,0.0,0.0,0.0,1.0
train,0.527032196521759,1.7549622058868408,0.3571453392505646,0.762078583240509,-1.7192323207855225,0.11581423133611679,0.47418949007987976,-0.6394245624542236,-0.09672801941633224,1.0,0.0,0.0,0.0
train,0.2272859662771225,3.0053586959838867,-0.9907730221748352,-0.2878296971321106,-2.0180857181549072,0.416553258895874,0.7404595613479614,-0.37451475858688354,-0.47842076420783997,0.0,1.0,0.0,0.0
train,1.0726655721664429,0.5945032238960266,-0.015018833801150322,1.1599575281143188,-1.6933648586273193,-2.2582755088806152,0.8726389408111572,-0.1189226359128952,-0.2971526086330414,0.0,0.0,1.0,0.0
