split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7
train,-0.738132655620575,-0.24887613952159882,1.2457075119018555,-0.4580755829811096,-0.40863844752311707,-2.352050542831421,-1.5781761407852173,-1.1258760690689087,0.3948725461959839,-1.386495590209961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.1176432371139526,-1.0017294883728027,1.3280664682388306,-0.25449338555336,-0.6047646999359131,-2.6768953800201416,-0.7249652743339539,0.04946579411625862,0.27067452669143677,-2.3680579662323,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.7790275812149048,-0.47386929392814636,0.01874145306646824,0.024554433301091194,-1.616698980331421,-2.462590217590332,-2.346191644668579,-1.5737258195877075,1.1175256967544556,-0.9984833598136902,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.2700459957122803,-0.20503352582454681,3.508953094482422,1.2148300409317017,-2.0763189792633057,-2.699495792388916,-0.5130093097686768,-2.1532740592956543,1.2826577425003052,-0.8224242329597473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.10340569168329239,-1.0105042457580566,-0.7093180418014526,1.0020806789398193,-2.7798333168029785,0.996313750743866,-1.000004529953003,-1.8219084739685059,-0.3641066551208496,-1.8203684091567993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-2.225787878036499,1.9332759380340576,4.331249237060547,-1.7100082635879517,1.0254721641540527,-1.6471502780914307,-1.3450632095336914,1.0903112888336182,-0.4715369939804077,-4.876147747039795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.4009632468223572,-0.46118298172950745,2.721879482269287,-1.4714884757995605,-0.24890242516994476,-5.867956161499023,3.1300177574157715,-2.2304022312164307,1.0382845401763916,-4.530135154724121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.489528656005859,0.6815783977508545,-1.2298930883407593,-1.841431736946106,-0.20738960802555084,-7.5557756423950195,-2.017878770828247,-2.5290470123291016,0.1942879557609558,-0.8033907413482666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.873806893825531,-0.3677249848842621,0.9703032374382019,-0.7958996295928955,-0.22423844039440155,-2.56491756439209,-1.0099968910217285,-0.8012353777885437,-0.008287682197988033,-1.0697036981582642,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.0051231384277344,0.06041821092367172,1.1943451166152954,0.774949848651886,-0.9251117706298828,-3.149942398071289,-1.129177451133728,-0.49535080790519714,-0.7925448417663574,-0.437879353761673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.169370651245117,1.0832971334457397,-0.39199528098106384,1.10097074508667,-0.7217804193496704,-2.402688980102539,-1.7920855283737183,-0.9619661569595337,0.25688400864601135,-0.8955616354942322,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.36873316764831543,-2.2638041973114014,1.1678229570388794,-0.8882623910903931,-0.7669914364814758,-3.056657075881958,-1.5127662420272827,-3.355278253555298,-0.37093624472618103,-3.134172201156616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-1.1820957660675049,1.1047654151916504,0.17334575951099396,-4.208216667175293,0.4959094822406769,-1.1554521322250366,-1.7045799493789673,-0.1252182275056839,1.5362063646316528,-1.3055472373962402,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.4337696433067322,1.8364976644515991,2.4308645725250244,1.961775541305542,-1.5336004495620728,0.3843753933906555,0.9236424565315247,1.6390302181243896,-1.6394544839859009,-3.630537986755371,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
