split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,-0.36065366864204407,-2.3628296852111816,0.5759711861610413,-0.8093298673629761,1.168817162513733,-0.6194601655006409,-0.1062726080417633,-1.3173227310180664,-0.22778597474098206,0.16274918615818024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.3362516164779663,-1.5882337093353271,0.6223267316818237,0.17480257153511047,1.7727324962615967,-1.8211804628372192,-0.6715251803398132,-0.4650324285030365,-0.38883107900619507,-0.7086641788482666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.4665812253952026,-1.5013078451156616,0.4565763771533966,1.6205918788909912,1.6536504030227661,-1.0001736879348755,1.306280255317688,-0.6833788156509399,0.6416036486625671,-0.21317905187606812,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.0166285037994385,-2.1591708660125732,1.4613940715789795,-1.481123447418213,1.033058762550354,-1.4485563039779663,1.917561411857605,-2.577874183654785,1.2297203540802002,1.0874799489974976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.4382643699645996,-2.431306838989258,2.356992721557617,-3.6543681621551514,0.6359788179397583,1.5339055061340332,-1.0201128721237183,-1.625921368598938,0.07124502956867218,2.2139127254486084,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.474698781967163,0.2848954498767853,2.704108715057373,-1.878128170967102,2.4334747791290283,-2.5896153450012207,-0.04264591261744499,-3.1438257694244385,-1.3673774003982544,-1.48486328125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.7914648056030273,-1.2978813648223877,3.198908805847168,-0.9051714539527893,2.8838865756988525,-0.42416098713874817,-2.499074697494507,-3.8121039867401123,2.8550257682800293,-2.495314598083496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,2.9397833347320557,-2.9857749938964844,-0.9427357912063599,-3.9290237426757812,-1.4089106321334839,-1.613319993019104,-3.010324716567993,0.24571780860424042,-1.2587350606918335,-4.212687015533447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,6.894123077392578,-2.939124345779419,3.7652053833007812,-1.3734995126724243,1.6029367446899414,2.2528622150421143,-0.6449838280677795,-0.4867745637893677,1.1191086769104004,-2.932995319366455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.3581646978855133,-1.606773018836975,0.7901414036750793,-0.7776100039482117,1.278869867324829,-0.4481792449951172,0.07560674101114273,-0.009938778355717659,0.3371320962905884,-0.485119104385376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.1311025321483612,-1.5662710666656494,-0.21863910555839539,-0.039122194051742554,1.1671857833862305,-0.8189184665679932,0.43702712655067444,0.7361381649971008,0.11416797339916229,-0.42079803347587585,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.2114448994398117,-0.6063705086708069,-0.16134098172187805,-2.840425491333008,0.9008496403694153,-0.9828738570213318,-0.4521103799343109,-0.16060733795166016,0.9355733394622803,-0.3400673270225525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.9007259607315063,-3.9893946647644043,0.5733277797698975,-0.7715839147567749,2.2982547283172607,-2.4276175498962402,1.4478259086608887,-0.46626728773117065,1.8489115238189697,1.066098928451538,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.9839730262756348,-0.43715327978134155,2.367859125137329,0.38693204522132874,2.765617609024048,-2.1982617378234863,3.489025831222534,-0.7541596293449402,-0.06905240565538406,0.6672557592391968,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.108415126800537,1.0862374305725098,3.1770975589752197,-0.11584398150444031,1.1986653804779053,-0.036790087819099426,-2.8866140842437744,2.1268582344055176,0.6462088227272034,1.0399714708328247,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.3540652990341187,-2.797240734100342,2.2829902172088623,2.147733688354492,-3.455789566040039,-3.593337059020996,-0.43338602781295776,-2.6282269954681396,-0.7452093958854675,1.7811622619628906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-2.1667704582214355,-2.3379197120666504,-3.9682936668395996,-2.573359727859497,-0.1052207350730896,-0.33549460768699646,0.22647714614868164,-5.939224720001221,-1.4899696111679077,-0.7971264719963074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,0.604495108127594,-1.2550963163375854,4.651020050048828,3.846670627593994,4.4523725509643555,0.0006798801477998495,3.779242753982544,-2.4303536415100098,-3.4908511638641357,2.1455469131469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.5632756948471069,-1.5500317811965942,1.3210601806640625,-0.23048855364322662,1.0241665840148926,-0.752579391002655,-0.12879735231399536,-0.15982256829738617,0.12209051847457886,-0.2454874962568283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.5766412019729614,-1.1600632667541504,1.0242600440979004,-0.2872723937034607,1.6776821613311768,-1.8206990957260132,0.0995711237192154,-0.14305706322193146,-0.5031291842460632,-0.58348548412323,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.07517871260643005,-4.0877275466918945,1.6542942523956299,-0.15355713665485382,0.7564260959625244,-1.8039463758468628,0.07097608596086502,-0.1744166761636734,-0.9145428538322449,0.7594698071479797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
