split,feature_0,feature_1,class_0,class_1
train,-0.08515463024377823,-1.0931282043457031,1.0,0.0
train,-1.662204384803772,0.48458051681518555,0.0,1.0
train,0.6873548030853271,0.7462060451507568,1.0,0.0
train,2.0466959476470947,-0.9948925375938416,0.0,1.0
train,0.14256180822849274,-1.141671895980835,1.0,0.0
train,1.2803400754928589,-1.8515726327896118,0.0,1.0
train,-0.6624367833137512,0.29353174567222595,1.0,0.0
train,0.029599759727716446,1.8433183431625366,0.0,1.0
train,0.36277005076408386,-1.1379296779632568,1.0,0.0
train,-1.4153484106063843,0.9825940132141113,0.0,1.0
val,-0.6523215770721436,-0.6056779623031616,1.0,0.0
val,0.1077721118927002,1.849873423576355,0.0,1.0
val,0.10889919847249985,-1.137944221496582,1.0,0.0
val,0.19871670007705688,-2.1456825733184814,0.0,1.0
val,1.1420865058898926,-0.568641722202301,1.0,0.0
val,-0.5735998153686523,-1.9749350547790527,0.0,1.0
val,0.4004918932914734,0.8403153419494629,1.0,0.0
val,0.956476628780365,1.7196086645126343,0.0,1.0
val,0.8980767130851746,0.6032134890556335,1.0,0.0
val,-1.6565885543823242,-0.7932899594306946,0.0,1.0
test,-0.761254072189331,-0.2230195254087448,1.0,0.0
test,2.2152175903320312,-0.43206265568733215,0.0,1.0
test,-0.5818169713020325,-0.7218204140663147,1.0,0.0
test,1.5160844326019287,-1.6825200319290161,0.0,1.0
test,0.06248893961310387,-1.130897045135498,1.0,0.0
test,2.2323546409606934,-0.029065027832984924,0.0,1.0
test,-0.7498944401741028,0.022647297009825706,1.0,0.0
test,0.56352698802948,1.8269363641738892,0.0,1.0
test,0.7792031764984131,-0.9854832887649536,1.0,0.0
test,1.6270177364349365,-1.582845687866211,0.0,1.0
test,0.009012753143906593,-1.1199755668640137,1.0,0.0
test,1.1071923971176147,1.6541507244110107,0.0,1.0
test,1.0135574340820312,-0.7745627164840698,1.0,0.0
test,-1.7496788501739502,0.09472887217998505,0.0,1.0
test,0.9289794564247131,0.5747174620628357,1.0,0.0
test,2.1171224117279053,-0.8246581554412842,0.0,1.0
test,1.1169757843017578,-0.6187729835510254,1.0,0.0
test,1.8024615049362183,-1.3892079591751099,0.0,1.0
test,1.214368224143982,0.05978996306657791,1.0,0.0
test,0.8178947567939758,1.76738440990448,0.0,1.0
test,-0.5877159237861633,0.4212997257709503,1.0,0.0
test,-1.7023239135742188,-0.6397493481636047,0.0,1.0
test,0.27430862188339233,-1.1452833414077759,1.0,0.0
test,-0.6638776063919067,-1.932256817817688,0.0,1.0
test,-0.647813081741333,-0.6142861247062683,1.0,0.0
test,-1.6734027862548828,0.4498184323310852,0.0,1.0
test,1.1625665426254272,0.22955651581287384,1.0,0.0
test,-1.604013442993164,-0.930353045463562,0.0,1.0
test,0.5844613909721375,0.7912144064903259,1.0,0.0
test,-1.5885945558547974,0.6735265851020813,0.0,1.0
test,-0.4029140770435333,0.6234368085861206,1.0,0.0
test,0.723118007183075,1.7936903238296509,0.0,1.0
test,1.2233599424362183,-0.303128182888031,1.0,0.0
test,-0.7944273948669434,-1.8602832555770874,0.0,1.0
test,-0.5436726808547974,-0.7724901437759399,1.0,0.0
test,-1.6680532693862915,0.4666959047317505,0.0,1.0
test,0.8031755089759827,-0.9694697260856628,1.0,0.0
test,-1.6465425491333008,0.5298963189125061,0.0,1.0
test,0.023649606853723526,-1.1232678890228271,1.0,0.0
test,-0.39317816495895386,-2.0445556640625,0.0,1.0
test,0.21292859315872192,0.8537129163742065,1.0,0.0
test,1.4365267753601074,1.4534118175506592,0.0,1.0
test,-0.26776665449142456,0.7179434895515442,1.0,0.0
test,-1.7538549900054932,-0.34940311312675476,0.0,1.0
test,-0.764198362827301,-0.13908179104328156,1.0,0.0
test,2.1540091037750244,-0.7120537757873535,0.0,1.0
test,1.2353626489639282,-0.17482759058475494,1.0,0.0
test,2.070749282836914,-0.9415624737739563,0.0,1.0
test,-0.6937252879142761,-0.5148410201072693,1.0,0.0
test,-0.6037587523460388,-1.9612886905670166,0.0,1.0
test,-0.30848225951194763,-0.9849426746368408,1.0,0.0
test,0.6050232648849487,1.8195929527282715,0.0,1.0
test,-0.7603641152381897,-0.2337859570980072,1.0,0.0
test,1.54066002368927,1.3696526288986206,0.0,1.0
test,-0.6365002393722534,-0.6350367069244385,1.0,0.0
test,1.339917540550232,-1.8136215209960938,0.0,1.0
test,-0.4277661144733429,0.6021115779876709,1.0,0.0
